epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.4367,1.10991,6.17606,1.06968,0.88181,0.89189,0.92669,0.69298,0.82314,4.25002,0.88946,0.00028,0.00028,0.00028
2,25.2937,0.86315,1.56309,0.97102,0.08426,0.18919,0.02338,0.01508,1.99215,4.57368,1.77203,0.000574258,0.000574258,0.000574258
3,30.2695,0.85135,0.86314,0.95958,0.55004,0.64865,0.58357,0.3909,0.9437,2.26486,1.04755,0.000862576,0.000862576,0.000862576
4,35.2724,0.90237,0.77855,0.9736,0.01263,0.54054,0.01122,0.00682,1.2636,87.7539,1.1289,0.00114495,0.00114495,0.00114495
5,40.2072,0.95818,0.74745,1.03244,0.92237,0.83784,0.93563,0.69694,0.94503,1.77144,1.03842,0.00142139,0.00142139,0.00142139
6,45.1778,0.88485,0.66913,0.99839,0.91149,0.83509,0.91023,0.71443,0.87755,4.11301,1.04175,0.00169189,0.00169189,0.00169189
7,50.1592,0.84957,0.70191,0.98065,0.77595,0.72973,0.7742,0.51139,1.02203,6.35067,1.04351,0.0018812,0.0018812,0.0018812
8,54.9846,0.84465,0.62918,0.97981,0.04221,0.86486,0.0413,0.03337,0.79544,28.0738,0.93561,0.0018614,0.0018614,0.0018614
9,59.8428,0.83965,0.61899,0.97857,0.75461,0.81081,0.87594,0.68855,0.80183,1.87284,0.93756,0.0018416,0.0018416,0.0018416
10,64.6847,0.79197,0.58746,0.95706,0.87822,0.51351,0.53638,0.40627,1.16477,3.78944,1.20152,0.0018218,0.0018218,0.0018218
11,69.5422,0.80839,0.57188,0.94386,0.84317,0.87195,0.94839,0.72364,0.79077,5.21654,0.97447,0.001802,0.001802,0.001802
12,74.4935,0.76545,0.5462,0.94138,0.79777,0.9597,0.95682,0.77885,0.7891,1.52865,0.92256,0.0017822,0.0017822,0.0017822
13,79.4471,0.76763,0.54447,0.95416,0.70665,0.43243,0.53836,0.38732,1.08027,1.75865,1.11221,0.0017624,0.0017624,0.0017624
