epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.6818,1.08964,2.41262,1.0001,0.00476,1,0.66338,0.49146,0.70803,2.96217,0.8672,0.00044,0.00044,0.00044
2,159.653,1.05976,1.49933,0.99778,0.00476,1,0.29971,0.20446,0.85655,2.9115,0.95345,0.0007218,0.0007218,0.0007218
3,253.623,0.99626,1.37528,0.98443,1,0.33955,0.8788,0.76539,0.64754,2.39509,0.86427,0.00082144,0.00082144,0.00082144
4,338.325,0.9494,1.19448,0.97785,0.8158,0.9,0.88707,0.74407,0.62318,1.94559,0.89609,0.00073892,0.00073892,0.00073892
5,420.437,0.86315,1.1312,0.95486,0.90031,0.90344,0.93136,0.8318,0.59169,1.33087,0.8649,0.000416,0.000416,0.000416
