epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,166.744,0.75811,0.98592,1,0.07032,0.00040625,0.00040625,0.00040625
2,330.863,0.03425,0.98592,1,0.01124,0.000741448,0.000741448,0.000741448
3,489.861,0.00985,1,1,0.00842,0.000994146,0.000994146,0.000994146
4,651.637,0.01115,1,1,0.00432,0.00087875,0.00087875,0.00087875
5,815.079,0.00802,0.99296,1,0.0034,0.000755,0.000755,0.000755
6,1007.19,0.00567,1,1,0.00022,0.00063125,0.00063125,0.00063125
