epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.1464,1.14723,6.46762,1.07647,0.87369,1,0.93367,0.66324,1.00887,6.88852,0.93353,0.00028,0.00028,0.00028
2,25.1449,0.93799,1.64109,0.99034,0.92124,0.92857,0.96625,0.66393,0.9777,5.72447,0.90242,0.000577129,0.000577129,0.000577129
3,30.396,0.89399,0.9005,0.98067,0.59584,0.14286,0.14616,0.11134,1.5,6.23771,1.20696,0.000871288,0.000871288,0.000871288
4,35.5698,0.9844,0.81357,1.02517,0.34563,0.5,0.2077,0.14884,1.48923,4.28551,1.20128,0.00116248,0.00116248,0.00116248
5,40.6797,1.02333,0.78366,1.05495,0.0039,0.28571,0.00232,0.00091,2.2942,70.8373,1.95709,0.0014507,0.0014507,0.0014507
6,45.6231,0.94535,0.74333,1.02103,0.00871,0.35714,0.00739,0.00486,1.37429,112.927,1.28872,0.00173595,0.00173595,0.00173595
7,50.5974,0.941,0.73154,1.01958,0.00343,0.35714,0.00198,0.0011,1.84733,186.281,1.5036,0.0019406,0.0019406,0.0019406
8,55.5295,0.92691,0.67363,1.00276,1,0.71278,0.71598,0.55917,1.10672,1.83094,1.12085,0.0019307,0.0019307,0.0019307
9,60.4855,0.87042,0.65865,0.99647,0.79996,0.85693,0.8157,0.6438,0.96055,2.42501,0.99452,0.0019208,0.0019208,0.0019208
10,65.4207,0.88047,0.64077,0.99963,0.79731,0.92857,0.84007,0.59552,1.08828,1.08425,0.97524,0.0019109,0.0019109,0.0019109
11,70.394,0.8532,0.6009,0.96668,0.86739,1,0.96125,0.75804,0.9087,0.8952,0.94733,0.001901,0.001901,0.001901
12,75.4752,0.85943,0.61831,0.98271,0.8351,0.92857,0.87677,0.72163,0.81502,1.44821,0.90888,0.0018911,0.0018911,0.0018911
13,80.4305,0.84895,0.60448,0.97391,0.8461,0.92857,0.93451,0.7312,0.82031,0.93802,0.93011,0.0018812,0.0018812,0.0018812
14,85.3566,0.82474,0.59806,0.98127,0.89747,0.92857,0.93267,0.74217,0.92446,1.53837,0.95882,0.0018713,0.0018713,0.0018713
15,90.3159,0.84049,0.58949,0.97478,0.97853,0.71429,0.78281,0.59545,1.01718,1.5476,1.03228,0.0018614,0.0018614,0.0018614
16,95.2454,0.78678,0.57535,0.95934,0.90206,0.78571,0.8117,0.6205,1.04489,0.87928,1.02762,0.0018515,0.0018515,0.0018515
17,100.208,0.80471,0.57649,0.96326,0.1459,0.28571,0.10502,0.05681,2.80611,4.04767,2.93054,0.0018416,0.0018416,0.0018416
18,105.179,0.80528,0.55874,0.95666,0.85037,0.85714,0.89201,0.67971,0.99545,1.22498,0.98305,0.0018317,0.0018317,0.0018317
19,110.141,0.79979,0.58712,0.96196,0.86515,0.92857,0.96765,0.74139,0.92017,0.62686,0.9453,0.0018218,0.0018218,0.0018218
20,115.076,0.78083,0.54952,0.93994,0.87245,0.97818,0.96625,0.79508,0.76868,0.59556,0.87258,0.0018119,0.0018119,0.0018119
21,120.164,0.78764,0.54427,0.9536,0.93231,0.98469,0.97167,0.7891,0.76291,0.5894,0.89682,0.001802,0.001802,0.001802
22,125.098,0.73787,0.51058,0.93639,0.87199,0.97423,0.94054,0.77194,0.84051,0.50427,0.90129,0.0017921,0.0017921,0.0017921
23,130.053,0.76806,0.5237,0.93703,0.91146,1,0.98567,0.78576,0.78186,0.70642,0.89644,0.0017822,0.0017822,0.0017822
24,134.986,0.76835,0.51666,0.94124,0.9239,1,0.981,0.78211,0.86289,0.91802,0.93485,0.0017723,0.0017723,0.0017723
25,139.972,0.77035,0.50592,0.94128,0.93274,0.99112,0.98567,0.79552,0.77378,1.48997,0.86707,0.0017624,0.0017624,0.0017624
26,145.023,0.76085,0.50943,0.94275,0.92849,1,0.96167,0.79921,0.77036,0.51934,0.90736,0.0017525,0.0017525,0.0017525
27,150.097,0.76644,0.50888,0.95565,0.9291,1,0.967,0.77299,0.77271,0.49707,0.89889,0.0017426,0.0017426,0.0017426
28,155.031,0.72361,0.49803,0.94091,0.9203,1,0.981,0.78801,0.72877,0.60943,0.91241,0.0017327,0.0017327,0.0017327
29,159.978,0.74583,0.49251,0.94661,0.92835,1,0.981,0.80892,0.73411,0.67431,0.89965,0.0017228,0.0017228,0.0017228
30,165.012,0.72929,0.50004,0.92696,0.87431,0.99412,0.96625,0.76782,0.89076,0.55001,0.92047,0.0017129,0.0017129,0.0017129
31,170.053,0.74545,0.49616,0.93918,0.93329,1,0.97167,0.78127,0.79308,0.5759,0.89867,0.001703,0.001703,0.001703
32,175.031,0.72926,0.4845,0.93186,0.92788,1,0.97633,0.8006,0.73128,0.58593,0.89595,0.0016931,0.0016931,0.0016931
33,179.98,0.70912,0.4768,0.92674,0.9267,1,0.981,0.82423,0.66114,0.48165,0.86683,0.0016832,0.0016832,0.0016832
34,185.032,0.69122,0.46644,0.91236,0.92762,1,0.94767,0.79573,0.63564,0.50185,0.85883,0.0016733,0.0016733,0.0016733
35,189.995,0.71597,0.47162,0.93601,0.9327,0.99051,0.97633,0.78364,0.7251,0.99846,0.86593,0.0016634,0.0016634,0.0016634
36,194.936,0.70535,0.46869,0.92503,0.92862,1,0.98567,0.8402,0.67056,0.48906,0.87241,0.0016535,0.0016535,0.0016535
37,203.008,0.69447,0.46661,0.92619,0.92663,1,0.981,0.82197,0.71764,0.49322,0.88099,0.0016436,0.0016436,0.0016436
38,207.948,0.71584,0.48469,0.93594,0.92589,1,0.97633,0.7883,0.72103,0.50221,0.88322,0.0016337,0.0016337,0.0016337
39,212.894,0.71248,0.46224,0.92504,0.93082,1,0.981,0.8468,0.68203,0.46975,0.89519,0.0016238,0.0016238,0.0016238
40,217.933,0.68499,0.46727,0.90532,0.92766,1,0.99033,0.79237,0.71751,0.59853,0.86802,0.0016139,0.0016139,0.0016139
41,222.876,0.67854,0.46447,0.90718,0.93281,0.99217,0.981,0.80851,0.7395,0.5608,0.91961,0.001604,0.001604,0.001604
42,227.815,0.6873,0.44585,0.91822,0.91233,0.92857,0.96444,0.81023,0.67713,0.87433,0.87063,0.0015941,0.0015941,0.0015941
43,232.756,0.67971,0.45674,0.91394,0.92827,1,0.96167,0.82405,0.70563,0.51165,0.89652,0.0015842,0.0015842,0.0015842
44,237.721,0.68869,0.45098,0.91073,0.92522,0.92857,0.96765,0.78348,0.74643,0.50438,0.93452,0.0015743,0.0015743,0.0015743
45,242.678,0.68479,0.45837,0.91948,0.92524,1,0.97167,0.79799,0.67632,0.46137,0.85736,0.0015644,0.0015644,0.0015644
46,247.613,0.66794,0.44044,0.91895,0.92909,1,0.981,0.83384,0.62822,0.44845,0.85932,0.0015545,0.0015545,0.0015545
47,252.574,0.68038,0.44877,0.91899,0.85801,0.92857,0.91176,0.7329,0.80371,0.7593,0.92647,0.0015446,0.0015446,0.0015446
48,257.509,0.66814,0.44805,0.91047,0.9291,1,0.96167,0.80447,0.75525,0.50305,0.88723,0.0015347,0.0015347,0.0015347
49,262.473,0.72037,0.47239,0.92589,0.87745,1,0.97167,0.8091,0.64621,0.47886,0.84737,0.0015248,0.0015248,0.0015248
50,267.414,0.68775,0.45481,0.91925,0.92918,1,0.98567,0.83887,0.65309,0.44155,0.85085,0.0015149,0.0015149,0.0015149
51,272.409,0.6741,0.42616,0.91453,0.9325,0.98757,0.97633,0.80401,0.70828,0.59952,0.8609,0.001505,0.001505,0.001505
52,277.348,0.66368,0.42169,0.90955,0.91705,1,0.967,0.77243,0.74717,0.53113,0.88241,0.0014951,0.0014951,0.0014951
53,282.307,0.64863,0.41766,0.89057,0.91857,1,0.981,0.82985,0.66944,0.47212,0.85537,0.0014852,0.0014852,0.0014852
54,287.247,0.66094,0.43566,0.90322,0.92527,1,0.957,0.79857,0.74065,0.41102,0.86235,0.0014753,0.0014753,0.0014753
55,292.209,0.66422,0.43813,0.9052,0.92913,1,0.96167,0.79288,0.72881,0.46929,0.86169,0.0014654,0.0014654,0.0014654
56,297.148,0.67206,0.43126,0.90396,0.92957,1,0.967,0.80256,0.73212,0.4607,0.86548,0.0014555,0.0014555,0.0014555
57,302.121,0.6468,0.41538,0.89828,0.92867,1,0.98567,0.80829,0.74353,0.44628,0.86942,0.0014456,0.0014456,0.0014456
58,307.047,0.64523,0.4074,0.89487,0.93033,1,0.981,0.83256,0.5931,0.43032,0.83315,0.0014357,0.0014357,0.0014357
59,312.004,0.64961,0.42619,0.89525,0.98612,1,0.995,0.84139,0.71069,0.41243,0.86041,0.0014258,0.0014258,0.0014258
60,316.925,0.62974,0.41423,0.88292,0.9295,1,0.98567,0.83821,0.63417,0.44113,0.844,0.0014159,0.0014159,0.0014159
61,321.885,0.63538,0.40611,0.9018,0.91746,1,0.98567,0.83528,0.68447,0.43879,0.86559,0.001406,0.001406,0.001406
62,326.802,0.6548,0.42656,0.90481,0.9259,1,0.98567,0.83605,0.63297,0.43675,0.86823,0.0013961,0.0013961,0.0013961
63,331.753,0.62897,0.40399,0.89421,0.92746,1,0.99033,0.8529,0.62825,0.42818,0.86178,0.0013862,0.0013862,0.0013862
64,336.833,0.64873,0.42203,0.90709,0.92013,1,0.96167,0.78559,0.7377,0.4494,0.88213,0.0013763,0.0013763,0.0013763
65,341.783,0.63668,0.40367,0.89542,0.92795,1,0.98567,0.83382,0.63713,0.3977,0.8557,0.0013664,0.0013664,0.0013664
66,346.724,0.61043,0.40257,0.89741,0.92948,1,0.981,0.83395,0.66242,0.42307,0.84977,0.0013565,0.0013565,0.0013565
67,351.685,0.60601,0.38933,0.88061,0.99479,1,0.995,0.83439,0.72408,0.40891,0.86877,0.0013466,0.0013466,0.0013466
68,356.619,0.61942,0.39259,0.88582,0.9188,1,0.99033,0.85931,0.6391,0.49217,0.84684,0.0013367,0.0013367,0.0013367
69,361.693,0.64269,0.39523,0.90288,0.93001,1,0.99033,0.80956,0.6795,0.41374,0.87882,0.0013268,0.0013268,0.0013268
70,366.724,0.62517,0.40712,0.88606,0.92716,1,0.98567,0.85269,0.65591,0.41617,0.86485,0.0013169,0.0013169,0.0013169
71,371.723,0.62373,0.40125,0.89443,0.92984,1,0.99033,0.85693,0.65264,0.4077,0.85228,0.001307,0.001307,0.001307
72,376.651,0.60819,0.39151,0.88916,0.9279,1,0.99033,0.79408,0.75947,0.40937,0.89269,0.0012971,0.0012971,0.0012971
73,381.607,0.62067,0.39482,0.89759,0.93165,1,0.97167,0.86168,0.63638,0.40284,0.84751,0.0012872,0.0012872,0.0012872
74,386.673,0.61756,0.39691,0.91,0.9308,1,0.98567,0.83725,0.63866,0.42342,0.82717,0.0012773,0.0012773,0.0012773
75,391.619,0.61992,0.39397,0.89747,0.92979,1,0.98567,0.83236,0.64619,0.40996,0.86876,0.0012674,0.0012674,0.0012674
76,396.559,0.61097,0.39443,0.88383,0.92953,1,0.97633,0.84221,0.67033,0.4026,0.86872,0.0012575,0.0012575,0.0012575
77,401.543,0.59265,0.3881,0.8767,0.93243,1,0.995,0.85247,0.6631,0.35975,0.85958,0.0012476,0.0012476,0.0012476
78,406.476,0.59389,0.37575,0.87742,0.99499,1,0.995,0.85359,0.66324,0.34354,0.86722,0.0012377,0.0012377,0.0012377
79,411.443,0.61786,0.39639,0.89879,0.92966,1,0.99033,0.83084,0.66661,0.3831,0.85905,0.0012278,0.0012278,0.0012278
80,416.393,0.59883,0.38639,0.89414,0.93032,1,0.99033,0.83322,0.67284,0.43126,0.87109,0.0012179,0.0012179,0.0012179
81,421.363,0.61247,0.39245,0.88948,0.93016,1,0.98567,0.84722,0.68363,0.41158,0.86005,0.001208,0.001208,0.001208
82,426.298,0.61121,0.38863,0.9013,0.92907,1,0.99033,0.83488,0.68777,0.39799,0.8635,0.0011981,0.0011981,0.0011981
83,431.239,0.59104,0.37912,0.88042,0.9298,1,0.99033,0.85581,0.65487,0.40406,0.84587,0.0011882,0.0011882,0.0011882
84,436.202,0.59139,0.38081,0.87546,0.9298,1,0.98567,0.84355,0.65132,0.41758,0.84184,0.0011783,0.0011783,0.0011783
85,441.153,0.5787,0.36359,0.86974,0.92984,1,0.98567,0.83814,0.68607,0.3972,0.86828,0.0011684,0.0011684,0.0011684
86,446.083,0.57883,0.36899,0.87793,0.93041,1,0.98567,0.82261,0.70025,0.39789,0.85594,0.0011585,0.0011585,0.0011585
87,451.043,0.59454,0.37832,0.89023,0.92519,1,0.98567,0.80887,0.74279,0.43368,0.86263,0.0011486,0.0011486,0.0011486
88,455.975,0.59217,0.38475,0.88486,0.92965,1,0.98567,0.78688,0.76888,0.40366,0.88542,0.0011387,0.0011387,0.0011387
89,460.931,0.58621,0.37005,0.87888,0.92895,1,0.99033,0.82101,0.69838,0.37664,0.86561,0.0011288,0.0011288,0.0011288
90,465.904,0.58635,0.36625,0.8752,0.9298,1,0.981,0.81207,0.71134,0.40518,0.88712,0.0011189,0.0011189,0.0011189
91,470.866,0.59463,0.37882,0.87752,0.92934,1,0.98567,0.83318,0.70464,0.40294,0.8831,0.001109,0.001109,0.001109
92,475.802,0.60411,0.38237,0.88215,0.98973,1,0.995,0.84077,0.68926,0.38254,0.86791,0.0010991,0.0010991,0.0010991
93,480.773,0.59405,0.38358,0.871,0.9284,1,0.98567,0.83889,0.5879,0.40256,0.85271,0.0010892,0.0010892,0.0010892
94,485.722,0.57417,0.36803,0.88006,0.92894,1,0.98567,0.85121,0.61371,0.41546,0.83934,0.0010793,0.0010793,0.0010793
95,490.694,0.55523,0.35418,0.87196,0.92973,1,0.98567,0.85781,0.65897,0.42434,0.84868,0.0010694,0.0010694,0.0010694
96,495.629,0.5708,0.3535,0.87828,0.92973,1,0.98567,0.84977,0.64194,0.38614,0.85823,0.0010595,0.0010595,0.0010595
97,500.619,0.57696,0.37254,0.8879,0.92951,1,0.98567,0.81402,0.7146,0.3997,0.8657,0.0010496,0.0010496,0.0010496
98,505.557,0.57849,0.37171,0.86904,0.92876,1,0.98567,0.83694,0.62035,0.36477,0.85424,0.0010397,0.0010397,0.0010397
99,510.522,0.57155,0.36523,0.8855,0.92912,1,0.981,0.81131,0.69072,0.39679,0.85156,0.0010298,0.0010298,0.0010298
