epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.62,1.01431,2.20338,0.97249,0.00568,1,0.11557,0.08494,0.8218,3.17861,0.87153,0.00062,0.00062,0.00062
2,237.707,1.02123,1.48384,0.99728,0.00567,1,0.03232,0.0224,0.75341,3.12659,0.88174,0.00124753,0.00124753,0.00124753
3,349.883,1.01373,1.30924,1.00751,1,0.6502,0.85424,0.67048,0.85344,1.9393,0.90263,0.00186238,0.00186238,0.00186238
4,466.305,0.98161,1.17047,0.99136,0.93166,1,0.98556,0.75485,0.77345,1.1903,0.90064,0.0019406,0.0019406,0.0019406
5,577.182,0.94279,1.05663,0.97116,0.99049,1,0.995,0.77525,0.85779,0.99835,0.98869,0.0019208,0.0019208,0.0019208
6,689.369,0.94632,1.01422,0.98763,0.93055,0.94118,0.98397,0.76934,0.76607,0.94644,0.91633,0.001901,0.001901,0.001901
7,804.074,0.92781,0.89017,0.97783,0.9903,1,0.995,0.82215,0.70945,0.77836,0.88711,0.0018812,0.0018812,0.0018812
8,916.95,0.90757,0.86565,0.96992,0.93094,0.79396,0.92894,0.78788,0.71553,1.13919,0.88906,0.0018614,0.0018614,0.0018614
9,1028.39,0.88393,0.78861,0.96859,0.99034,1,0.995,0.83624,0.76317,0.75342,0.89171,0.0018416,0.0018416,0.0018416
10,1138.26,0.86956,0.75753,0.95228,0.99414,1,0.995,0.85419,0.63852,0.56539,0.86308,0.0018218,0.0018218,0.0018218
11,1254.55,0.87042,0.71866,0.96399,0.9965,1,0.995,0.86796,0.63095,0.56073,0.86173,0.001802,0.001802,0.001802
12,1373.84,0.85555,0.69336,0.96409,0.9967,1,0.995,0.85526,0.66536,0.59572,0.86515,0.0017822,0.0017822,0.0017822
13,1491.87,0.82056,0.67957,0.94986,0.99495,1,0.995,0.8742,0.62749,0.51859,0.86216,0.0017624,0.0017624,0.0017624
14,1611.03,0.84922,0.6808,0.95723,0.99532,1,0.995,0.83281,0.7107,0.55415,0.86111,0.0017426,0.0017426,0.0017426
