epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,533.009,0.7391,0.13166,0.12093,0.50104,0.93095,0.99611,0.97826,0.99059,0.85612,0.99611,0.97826,0.99059,0.99059,0.70063,0.07756,0.0187,0.47138,0.87218,0.00193565,0.00193565,0.00193565
28,552.081,0.76575,0.13746,0.10399,0.49345,0.94081,0.99577,0.97826,0.97721,0.84008,0.99577,0.97826,0.99378,0.99353,0.72521,0.09727,0.02539,0.58577,0.90221,0.00193318,0.00193318,0.00193318
29,570.631,0.72992,0.11349,0.10423,0.49255,0.92231,1,0.94656,0.97625,0.84928,1,0.94656,0.99036,0.97511,0.64884,0.10103,0.01689,0.50697,0.87898,0.0019307,0.0019307,0.0019307
30,589.193,0.7104,0.10936,0.092,0.47125,0.91845,1,0.95448,0.9799,0.84352,1,0.95448,0.99073,0.97986,0.63226,0.11684,0.01599,0.41477,0.85412,0.00192823,0.00192823,0.00192823
31,607.81,0.73143,0.10736,0.12563,0.48886,0.92873,0.99549,0.97826,0.99269,0.83796,0.99549,0.97826,0.99378,0.98364,0.68885,0.10205,0.01954,0.43318,0.8762,0.00192575,0.00192575,0.00192575
32,626.529,0.72996,0.10643,0.10077,0.4846,0.92652,1,0.97637,0.99457,0.87046,1,0.97637,0.99457,0.99034,0.59517,0.11848,0.05076,0.4146,0.85463,0.00192328,0.00192328,0.00192328
33,645.615,0.73147,0.12467,0.11874,0.48049,0.9393,0.97816,0.97379,0.98807,0.84329,0.99176,0.97826,0.99378,0.98266,0.66281,0.12238,0.0173,0.43686,0.86207,0.0019208,0.0019208,0.0019208
34,664.326,0.72104,0.11791,0.10516,0.47271,0.92606,0.98203,0.97826,0.98636,0.85767,0.98203,0.97826,0.9934,0.9934,0.6439,0.09502,0.0137,0.43311,0.86515,0.00191833,0.00191833,0.00191833
35,683.07,0.71374,0.10369,0.10635,0.47976,0.91245,0.97372,0.95652,0.9844,0.85115,0.97372,0.95652,0.98774,0.98507,0.63987,0.09444,0.02484,0.45519,0.85398,0.00191585,0.00191585,0.00191585
36,701.73,0.7315,0.10232,0.1071,0.47344,0.92379,0.99597,0.97826,0.99378,0.83934,0.99597,0.97826,0.99378,0.99378,0.7863,0.06127,0.01532,0.45314,0.9007,0.00191338,0.00191338,0.00191338
37,720.376,0.72009,0.10565,0.09892,0.4694,0.9198,0.97336,0.95652,0.99248,0.85729,0.97336,0.95652,0.99248,0.99248,0.62172,0.05727,0.02366,0.42928,0.8808,0.0019109,0.0019109,0.0019109
38,739.857,0.70847,0.10376,0.10882,0.46318,0.93052,0.98795,0.95652,0.98295,0.83548,0.99437,0.97826,0.98557,0.98129,0.64082,0.09511,0.03025,0.53025,0.86098,0.00190843,0.00190843,0.00190843
39,758.52,0.69323,0.09806,0.1029,0.44564,0.90822,0.99342,0.93478,0.98472,0.83754,0.97808,0.96992,0.98999,0.98829,0.65936,0.10568,0.06309,0.48297,0.86185,0.00190595,0.00190595,0.00190595
40,777.21,0.69304,0.09574,0.10232,0.45335,0.91684,0.99455,0.93478,0.97603,0.83166,0.99455,0.93478,0.98783,0.98783,0.79641,0.07658,0.02699,0.5271,0.89728,0.00190348,0.00190348,0.00190348
41,796.832,0.70265,0.10343,0.09014,0.45432,0.92405,0.99704,0.97826,0.9934,0.85026,0.99704,0.97826,0.9934,0.99297,0.66005,0.06572,0.01789,0.43644,0.85202,0.001901,0.001901,0.001901
42,816.375,0.71736,0.10269,0.10718,0.46024,0.9326,0.97645,0.97826,0.99204,0.88508,0.97645,0.97826,0.99204,0.99002,0.66418,0.07772,0.02244,0.42264,0.86888,0.00189853,0.00189853,0.00189853
43,835.453,0.69129,0.0925,0.09047,0.462,0.91286,0.9951,0.97826,0.99417,0.86964,0.9951,0.97826,0.99417,0.98029,0.6453,0.10317,0.02604,0.38173,0.87702,0.00189605,0.00189605,0.00189605
44,854.145,0.69895,0.10208,0.11278,0.4564,0.92432,0.98778,0.95652,0.97414,0.85428,0.99802,0.97826,0.99236,0.97546,0.6619,0.11587,0.02896,0.46318,0.8838,0.00189357,0.00189357,0.00189357
45,873.609,0.6761,0.10069,0.09548,0.45066,0.90534,0.99816,0.97826,0.99114,0.87044,0.99816,0.97826,0.99457,0.99457,0.64919,0.04676,0.02348,0.46572,0.85696,0.0018911,0.0018911,0.0018911
46,893.277,0.67959,0.08662,0.08749,0.44654,0.91529,0.98905,0.97826,0.98679,0.83654,0.98905,0.97826,0.99304,0.99106,0.74354,0.07768,0.01768,0.48903,0.90047,0.00188863,0.00188863,0.00188863
47,912.078,0.68615,0.08183,0.08496,0.44542,0.9142,0.97781,0.97826,0.98915,0.85699,0.97781,0.97826,0.98915,0.98915,0.71583,0.05526,0.0352,0.47411,0.87725,0.00188615,0.00188615,0.00188615
48,931.022,0.69646,0.09112,0.08672,0.44481,0.91572,0.99588,0.95652,0.99048,0.85538,0.99588,0.95652,0.99048,0.98471,0.67625,0.10529,0.01607,0.46015,0.87652,0.00188368,0.00188368,0.00188368
49,949.731,0.67809,0.09339,0.09375,0.43221,0.91386,0.99471,0.97826,0.98873,0.84637,0.99471,0.97826,0.98873,0.98509,0.66989,0.07946,0.0313,0.44205,0.87439,0.0018812,0.0018812,0.0018812
50,968.501,0.68076,0.07977,0.08999,0.42498,0.91594,0.99327,0.97826,0.98679,0.85197,0.99327,0.97826,0.99236,0.99236,0.64386,0.07172,0.01247,0.44022,0.86837,0.00187872,0.00187872,0.00187872
51,987.186,0.66743,0.08624,0.09675,0.42914,0.91771,1,0.94944,0.97998,0.86199,0.99569,0.97826,0.99378,0.98303,0.6787,0.09058,0.02509,0.42151,0.87591,0.00187625,0.00187625,0.00187625
52,1005.99,0.65223,0.08595,0.08132,0.42842,0.89535,0.98625,0.97826,0.99236,0.87579,0.98625,0.97826,0.99378,0.99378,0.6769,0.04718,0.01842,0.402,0.85361,0.00187378,0.00187378,0.00187378
53,1024.76,0.68209,0.07698,0.08207,0.43298,0.90304,0.99285,0.95652,0.99255,0.86526,0.99285,0.95652,0.99255,0.99144,0.68979,0.07264,0.01728,0.44044,0.86079,0.0018713,0.0018713,0.0018713
54,1043.76,0.68446,0.08786,0.08701,0.43885,0.90551,0.99537,0.95652,0.97643,0.85565,0.99537,0.95652,0.9916,0.98533,0.72693,0.08461,0.0489,0.46753,0.91079,0.00186882,0.00186882,0.00186882
55,1062.5,0.65637,0.08122,0.08338,0.42642,0.91165,1,0.97668,0.9804,0.85647,1,0.97668,0.99204,0.99028,0.73059,0.04765,0.0481,0.46994,0.89288,0.00186635,0.00186635,0.00186635
56,1081.09,0.65305,0.08559,0.09945,0.41937,0.8947,0.99375,0.97826,0.97888,0.85832,0.99375,0.97826,0.99204,0.99204,0.67246,0.05851,0.01451,0.43897,0.87241,0.00186388,0.00186388,0.00186388
57,1099.82,0.67293,0.08211,0.09609,0.43656,0.9093,0.99532,0.97826,0.99059,0.86815,0.99532,0.97826,0.99086,0.99086,0.6661,0.0661,0.02962,0.4578,0.85542,0.0018614,0.0018614,0.0018614
58,1118.59,0.66828,0.08914,0.08037,0.42094,0.90096,0.99535,0.95652,0.99333,0.86613,1,0.97592,0.99457,0.9937,0.69407,0.07068,0.02266,0.42349,0.85785,0.00185892,0.00185892,0.00185892
59,1137.27,0.64628,0.07913,0.08671,0.42035,0.89918,0.97529,0.97826,0.99226,0.88212,1,0.97011,0.99417,0.98844,0.61379,0.10124,0.00944,0.44122,0.85537,0.00185645,0.00185645,0.00185645
60,1155.97,0.66892,0.07739,0.09557,0.42866,0.91224,0.97871,0.99949,0.99415,0.86583,0.97871,0.99949,0.99457,0.99088,0.6428,0.07154,0.02158,0.40938,0.85883,0.00185397,0.00185397,0.00185397
61,1174.64,0.64004,0.08133,0.09213,0.41525,0.89336,0.9985,0.97826,0.99417,0.87924,0.9985,0.97826,0.99417,0.99417,0.63173,0.05902,0.02153,0.39634,0.85513,0.0018515,0.0018515,0.0018515
62,1193.46,0.64226,0.07823,0.07914,0.41329,0.88988,0.99395,0.95652,0.99292,0.86543,0.99395,0.95652,0.99292,0.98913,0.60242,0.06755,0.02174,0.38448,0.84767,0.00184903,0.00184903,0.00184903
63,1212.62,0.66348,0.07986,0.0798,0.41228,0.89304,1,0.97769,0.99457,0.87377,1,0.97769,0.99457,0.99457,0.63172,0.0342,0.02391,0.38956,0.83529,0.00184655,0.00184655,0.00184655
64,1231.32,0.62933,0.07066,0.07996,0.40831,0.88748,1,0.97742,0.99173,0.88019,1,0.97742,0.9934,0.99139,0.59444,0.0714,0.02233,0.43483,0.83614,0.00184408,0.00184408,0.00184408
65,1250.5,0.62328,0.07137,0.0879,0.39724,0.90258,0.99002,0.93478,0.98904,0.87498,0.99002,0.93478,0.98904,0.98904,0.5889,0.06042,0.01595,0.42173,0.84409,0.0018416,0.0018416,0.0018416
66,1269.25,0.62258,0.07098,0.07996,0.40071,0.88872,0.99642,1,0.995,0.90823,0.99642,1,0.995,0.995,0.56129,0.04796,0.05509,0.35943,0.83688,0.00183912,0.00183912,0.00183912
67,1288.28,0.62888,0.07338,0.08573,0.4066,0.8951,1,0.99882,0.995,0.88591,1,0.99882,0.995,0.995,0.61121,0.03482,0.00703,0.38049,0.84948,0.00183665,0.00183665,0.00183665
68,1306.96,0.63441,0.06985,0.08196,0.41638,0.89706,0.97479,1,0.99415,0.88044,0.97479,1,0.99415,0.99415,0.64247,0.04549,0.0299,0.38662,0.86016,0.00183418,0.00183418,0.00183418
69,1325.76,0.64193,0.06742,0.07269,0.4116,0.90072,0.99809,0.97826,0.98937,0.86276,0.99809,0.97826,0.99204,0.99204,0.63232,0.03596,0.01207,0.42678,0.86323,0.0018317,0.0018317,0.0018317
70,1344.46,0.61876,0.0706,0.07734,0.39083,0.88499,0.97619,0.97826,0.99192,0.87714,0.97619,0.97826,0.99192,0.99128,0.59424,0.06682,0.01296,0.37809,0.84413,0.00182923,0.00182923,0.00182923
