epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
114,2176.96,0.54933,0.04703,0.05985,0.35636,0.87024,0.97864,0.99589,0.99457,0.88724,0.97864,0.99589,0.99457,0.9942,0.59043,0.03991,0.03978,0.3802,0.84616,0.00172033,0.00172033,0.00172033
115,2195.7,0.56958,0.05364,0.05322,0.3662,0.8711,0.97869,0.99857,0.99457,0.88904,0.97869,0.99857,0.99457,0.99457,0.63271,0.03549,0.01031,0.40952,0.85994,0.00171785,0.00171785,0.00171785
116,2214.68,0.56778,0.05066,0.05072,0.35683,0.86576,0.99698,0.97826,0.99417,0.88383,1,0.9996,0.995,0.995,0.56401,0.04091,0.02364,0.35107,0.83163,0.00171537,0.00171537,0.00171537
117,2233.54,0.54951,0.04309,0.04954,0.35351,0.86322,0.9787,0.99896,0.99457,0.90322,0.9787,0.99896,0.99457,0.99457,0.56321,0.03335,0.03781,0.33968,0.83336,0.0017129,0.0017129,0.0017129
118,2252.66,0.55479,0.04935,0.05892,0.35305,0.86609,1,0.99874,0.995,0.89181,1,0.99874,0.995,0.99477,0.6199,0.04544,0.02247,0.39364,0.84915,0.00171043,0.00171043,0.00171043
119,2271.68,0.53904,0.0417,0.05614,0.34582,0.85999,1,0.99823,0.995,0.88033,1,0.99823,0.995,0.99492,0.63591,0.03482,0.02784,0.38742,0.85633,0.00170795,0.00170795,0.00170795
120,2291.49,0.56691,0.04891,0.05252,0.35357,0.87622,0.97581,0.97826,0.99373,0.8777,0.97581,0.97826,0.99373,0.99369,0.57178,0.02575,0.01688,0.36921,0.84512,0.00170548,0.00170548,0.00170548
121,2310.93,0.56401,0.04505,0.06177,0.35714,0.87489,1,0.99996,0.995,0.89623,1,0.99996,0.995,0.995,0.57097,0.02981,0.0124,0.37345,0.85008,0.001703,0.001703,0.001703
122,2329.83,0.58787,0.05605,0.06287,0.363,0.87158,1,0.99828,0.995,0.89347,1,0.99828,0.995,0.99274,0.57018,0.03897,0.03795,0.34303,0.83789,0.00170053,0.00170053,0.00170053
123,2349.04,0.55621,0.04197,0.06261,0.34901,0.86894,0.99835,0.97826,0.99417,0.88656,1,0.99857,0.995,0.99228,0.56651,0.02915,0.02751,0.37941,0.84855,0.00169805,0.00169805,0.00169805
124,2368.47,0.5761,0.04638,0.05556,0.3587,0.87653,0.97871,0.99952,0.99457,0.89803,0.97871,0.99952,0.99457,0.99457,0.5451,0.03327,0.0337,0.34295,0.8271,0.00169557,0.00169557,0.00169557
125,2387.51,0.57395,0.05199,0.05853,0.35633,0.85984,0.99399,0.97826,0.99378,0.86945,0.99399,0.97826,0.99378,0.99187,0.58916,0.03429,0.00629,0.35856,0.84682,0.0016931,0.0016931,0.0016931
126,2406.56,0.54641,0.04664,0.05449,0.34541,0.86144,0.97822,1,0.99372,0.89037,0.97822,1,0.99372,0.99372,0.60011,0.03686,0.0219,0.33218,0.84818,0.00169063,0.00169063,0.00169063
127,2425.28,0.54768,0.05489,0.05198,0.35166,0.85882,1,0.99722,0.995,0.88154,1,0.99722,0.995,0.99301,0.63892,0.03278,0.03244,0.3449,0.85449,0.00168815,0.00168815,0.00168815
128,2445.13,0.55762,0.05287,0.06363,0.35873,0.87259,0.97872,0.99979,0.99457,0.87327,0.97872,0.99979,0.99457,0.99457,0.59002,0.03064,0.02513,0.34314,0.84642,0.00168567,0.00168567,0.00168567
129,2464.9,0.53889,0.041,0.04562,0.34305,0.8637,0.99763,0.97826,0.99457,0.89404,0.99763,0.97826,0.99457,0.99457,0.57727,0.03166,0.02236,0.33274,0.83773,0.0016832,0.0016832,0.0016832
130,2485.44,0.54251,0.04568,0.05091,0.34851,0.86711,1,0.99796,0.995,0.8887,1,0.99796,0.995,0.995,0.60148,0.02755,0.02169,0.35317,0.84204,0.00168073,0.00168073,0.00168073
131,2504.98,0.55956,0.04563,0.04967,0.35236,0.86607,0.99837,0.97826,0.99457,0.88031,1,0.99842,0.995,0.995,0.60449,0.0246,0.02945,0.37123,0.86744,0.00167825,0.00167825,0.00167825
132,2523.9,0.55681,0.04438,0.04739,0.35517,0.87251,0.97833,1,0.99415,0.8766,0.97833,1,0.99415,0.99415,0.58668,0.02668,0.01384,0.34653,0.84171,0.00167577,0.00167577,0.00167577
133,2543.37,0.54636,0.04779,0.05863,0.34856,0.86494,1,0.97771,0.99457,0.891,1,0.97771,0.99457,0.99457,0.56095,0.023,0.01962,0.34127,0.83612,0.0016733,0.0016733,0.0016733
134,2562.21,0.545,0.04458,0.06051,0.34667,0.86714,0.99967,1,0.995,0.89181,0.99967,1,0.995,0.995,0.60062,0.02517,0.01543,0.34721,0.8545,0.00167083,0.00167083,0.00167083
135,2581.52,0.54748,0.05063,0.06114,0.3436,0.84971,0.99578,0.97826,0.99417,0.87987,0.99578,0.97826,0.99417,0.99417,0.60945,0.02857,0.01798,0.34701,0.85225,0.00166835,0.00166835,0.00166835
136,2600.58,0.55571,0.04427,0.04954,0.3578,0.88148,1,0.99802,0.995,0.8877,1,0.99802,0.995,0.99488,0.56296,0.04399,0.02656,0.35587,0.84205,0.00166588,0.00166588,0.00166588
137,2620.03,0.53718,0.03666,0.04803,0.34326,0.86736,1,0.99727,0.995,0.89971,1,0.99727,0.995,0.995,0.56331,0.02831,0.01671,0.33905,0.85138,0.0016634,0.0016634,0.0016634
138,2638.74,0.54353,0.04265,0.04627,0.34349,0.86348,0.9988,1,0.995,0.89671,0.9988,1,0.995,0.995,0.55124,0.0262,0.01091,0.34263,0.83652,0.00166092,0.00166092,0.00166092
139,2658.1,0.56242,0.03947,0.05444,0.34954,0.86252,1,0.9955,0.995,0.88571,1,0.9955,0.995,0.99228,0.54549,0.02305,0.01342,0.32523,0.84374,0.00165845,0.00165845,0.00165845
140,2676.79,0.53039,0.04187,0.04895,0.33601,0.86023,0.97869,0.99863,0.99457,0.89664,0.97869,0.99863,0.99457,0.99336,0.57831,0.0392,0.01717,0.32567,0.84829,0.00165598,0.00165598,0.00165598
141,2696.5,0.5382,0.04451,0.04111,0.33698,0.85674,0.99896,0.97826,0.99417,0.8778,1,0.9981,0.995,0.995,0.58424,0.03493,0.03058,0.3656,0.84741,0.0016535,0.0016535,0.0016535
142,2716.12,0.53899,0.04017,0.05255,0.34103,0.85807,1,0.99682,0.995,0.88295,1,0.99682,0.995,0.995,0.58262,0.0268,0.04111,0.35253,0.84507,0.00165102,0.00165102,0.00165102
143,2734.9,0.54212,0.04737,0.05794,0.34262,0.86102,1,0.99874,0.995,0.89015,1,0.99874,0.995,0.98438,0.6073,0.08537,0.0188,0.37254,0.87841,0.00164855,0.00164855,0.00164855
144,2754.59,0.52585,0.04564,0.05045,0.34004,0.85518,0.99776,0.97826,0.99417,0.90179,0.99776,0.97826,0.99417,0.99417,0.56066,0.03204,0.0472,0.38513,0.85019,0.00164608,0.00164608,0.00164608
145,2773.48,0.54389,0.04966,0.04592,0.34549,0.86328,1,0.99869,0.995,0.90148,1,0.99869,0.995,0.995,0.54128,0.04141,0.02266,0.36948,0.83467,0.0016436,0.0016436,0.0016436
146,2793,0.53983,0.05115,0.05901,0.34671,0.87044,1,0.99846,0.995,0.8906,1,0.99846,0.995,0.995,0.55581,0.0336,0.04226,0.35364,0.83621,0.00164113,0.00164113,0.00164113
147,2811.75,0.53832,0.05286,0.05225,0.34631,0.85253,1,0.99906,0.995,0.89344,1,0.99906,0.995,0.995,0.58522,0.03064,0.04877,0.34789,0.84769,0.00163865,0.00163865,0.00163865
148,2831.22,0.5519,0.0488,0.05872,0.34387,0.85775,1,0.9991,0.995,0.89109,1,0.9991,0.995,0.99215,0.57961,0.03102,0.03476,0.3405,0.84253,0.00163618,0.00163618,0.00163618
149,2849.91,0.55931,0.04863,0.05204,0.33987,0.86864,1,0.99895,0.995,0.91713,1,0.99895,0.995,0.995,0.5392,0.03307,0.04705,0.34389,0.82038,0.0016337,0.0016337,0.0016337
150,2869.52,0.5338,0.04116,0.04986,0.33789,0.85999,0.99935,1,0.995,0.90212,0.99935,1,0.995,0.995,0.55611,0.02927,0.02379,0.29937,0.83996,0.00163123,0.00163123,0.00163123
151,2889.09,0.52435,0.04718,0.05176,0.33069,0.85519,1,0.99922,0.995,0.88823,1,0.99922,0.995,0.995,0.5656,0.02846,0.03206,0.32604,0.83618,0.00162875,0.00162875,0.00162875
152,2907.77,0.5367,0.04347,0.06163,0.33429,0.85764,1,0.99905,0.995,0.89622,1,0.99905,0.995,0.995,0.52482,0.03951,0.04203,0.34918,0.83295,0.00162628,0.00162628,0.00162628
153,2927.95,0.54335,0.04452,0.0609,0.33819,0.86497,1,0.99869,0.995,0.92049,1,0.99869,0.995,0.995,0.53035,0.03689,0.06255,0.34225,0.83735,0.0016238,0.0016238,0.0016238
154,2947.26,0.53588,0.04117,0.06209,0.34206,0.86965,0.99804,0.97826,0.9934,0.89609,1,0.99814,0.995,0.995,0.51755,0.02786,0.05169,0.34702,0.83098,0.00162132,0.00162132,0.00162132
155,2966.88,0.54238,0.04335,0.04732,0.34231,0.86357,0.97756,1,0.99457,0.89756,1,0.99899,0.995,0.995,0.52974,0.0346,0.03883,0.37271,0.83673,0.00161885,0.00161885,0.00161885
156,2986.58,0.51168,0.03787,0.04565,0.33273,0.85526,1,0.99885,0.995,0.89224,1,0.99885,0.995,0.995,0.5545,0.02766,0.06386,0.34324,0.83454,0.00161638,0.00161638,0.00161638
157,3005.32,0.5145,0.0406,0.04701,0.32251,0.85302,0.99481,0.97826,0.99378,0.90112,0.99481,0.97826,0.99378,0.9937,0.5422,0.03815,0.01837,0.35905,0.83091,0.0016139,0.0016139,0.0016139
158,3024.98,0.54926,0.0436,0.0397,0.33877,0.86005,0.99901,1,0.995,0.90892,0.99901,1,0.995,0.995,0.50043,0.03196,0.04161,0.31522,0.82234,0.00161142,0.00161142,0.00161142
159,3043.67,0.5447,0.04134,0.03827,0.34009,0.86157,0.97872,0.99989,0.99457,0.90088,0.97872,0.99989,0.99457,0.99457,0.54812,0.02445,0.01326,0.32736,0.82885,0.00160895,0.00160895,0.00160895
160,3063.07,0.52283,0.04217,0.04985,0.32856,0.8583,1,0.99779,0.995,0.90186,1,0.99779,0.995,0.995,0.52063,0.02759,0.05929,0.31909,0.83355,0.00160648,0.00160648,0.00160648
161,3081.93,0.5224,0.03834,0.03944,0.32693,0.85253,1,0.99968,0.995,0.90748,1,0.99968,0.995,0.995,0.54013,0.02462,0.02855,0.30957,0.82875,0.001604,0.001604,0.001604
162,3101.69,0.52466,0.03983,0.0458,0.32707,0.85882,1,0.99878,0.995,0.90828,1,0.99878,0.995,0.995,0.53531,0.0359,0.03155,0.31476,0.8273,0.00160152,0.00160152,0.00160152
163,3120.39,0.52984,0.03776,0.05676,0.33181,0.86316,0.99842,0.97826,0.99457,0.89015,0.99842,0.97826,0.99457,0.99457,0.52464,0.02976,0.02422,0.38965,0.83196,0.00159905,0.00159905,0.00159905
164,3140.2,0.51579,0.04316,0.03808,0.32457,0.84986,0.99162,0.97826,0.99204,0.91053,0.99162,0.97826,0.99378,0.99343,0.52072,0.0428,0.03838,0.43984,0.83822,0.00159658,0.00159658,0.00159658
165,3159.71,0.53033,0.04414,0.04408,0.33686,0.85886,0.98942,0.97826,0.9934,0.89925,0.98942,0.97826,0.99417,0.99417,0.5566,0.03823,0.05592,0.41338,0.83131,0.0015941,0.0015941,0.0015941
166,3178.28,0.53271,0.04075,0.04736,0.33396,0.85714,0.99732,0.97826,0.99417,0.8904,0.99732,0.97826,0.99417,0.99417,0.58361,0.03821,0.03624,0.34723,0.83865,0.00159162,0.00159162,0.00159162
167,3197.78,0.52484,0.03243,0.04864,0.32936,0.86157,0.99829,0.97826,0.99417,0.89271,0.99829,0.97826,0.99457,0.99457,0.54738,0.03377,0.02602,0.33536,0.83829,0.00158915,0.00158915,0.00158915
168,3216.34,0.52434,0.04118,0.04509,0.33074,0.85089,1,0.99916,0.995,0.90647,1,0.99916,0.995,0.995,0.51631,0.03074,0.02321,0.3576,0.83373,0.00158668,0.00158668,0.00158668
169,3235.78,0.51764,0.04232,0.05073,0.32669,0.85095,0.99839,0.97826,0.99378,0.91211,1,0.99857,0.995,0.995,0.51444,0.03745,0.0349,0.40496,0.82779,0.0015842,0.0015842,0.0015842
170,3254.58,0.53125,0.03933,0.04195,0.32672,0.86664,0.99861,0.97826,0.99417,0.91559,1,0.99863,0.995,0.995,0.49722,0.03393,0.04017,0.4064,0.83432,0.00158173,0.00158173,0.00158173
171,3274.17,0.51674,0.04438,0.05218,0.32926,0.85386,0.99723,0.97826,0.99417,0.90277,1,0.99803,0.995,0.995,0.53195,0.0314,0.03948,0.38417,0.83652,0.00157925,0.00157925,0.00157925
172,3292.92,0.50785,0.03882,0.03867,0.32023,0.86205,0.99784,0.97826,0.9934,0.89957,1,0.99881,0.995,0.995,0.54787,0.02866,0.03121,0.33059,0.83417,0.00157678,0.00157678,0.00157678
173,3312.39,0.50799,0.03605,0.04364,0.32289,0.86005,0.9984,0.97826,0.99457,0.89528,1,0.99856,0.995,0.995,0.58351,0.0272,0.03958,0.3635,0.84835,0.0015743,0.0015743,0.0015743
174,3331.89,0.49499,0.03622,0.03904,0.31601,0.85503,1,0.99932,0.995,0.90311,1,0.99932,0.995,0.995,0.56687,0.02676,0.04983,0.31927,0.83277,0.00157182,0.00157182,0.00157182
175,3350.73,0.5231,0.03825,0.04721,0.32557,0.85867,0.99838,0.97826,0.99457,0.91114,1,0.99848,0.995,0.995,0.57262,0.02407,0.07484,0.34014,0.84545,0.00156935,0.00156935,0.00156935
176,3370.23,0.50785,0.033,0.04079,0.32023,0.85991,0.99692,0.97826,0.99417,0.90048,0.99692,0.97826,0.99417,0.99417,0.54953,0.0272,0.02213,0.36041,0.83313,0.00156688,0.00156688,0.00156688
177,3388.96,0.51391,0.03711,0.04995,0.32104,0.85769,1,0.99871,0.995,0.90089,1,0.99871,0.995,0.995,0.59257,0.02572,0.02607,0.35231,0.83616,0.0015644,0.0015644,0.0015644
178,3408.67,0.50559,0.03499,0.04371,0.31583,0.84687,1,0.99776,0.995,0.9101,1,0.99776,0.995,0.995,0.56475,0.02104,0.01495,0.32766,0.83125,0.00156193,0.00156193,0.00156193
179,3427.96,0.51683,0.03926,0.04611,0.32028,0.85836,0.99857,0.97826,0.99457,0.90648,1,0.99875,0.995,0.995,0.52705,0.02871,0.01702,0.37181,0.82004,0.00155945,0.00155945,0.00155945
180,3447.35,0.51103,0.0383,0.04491,0.31845,0.86678,0.97869,0.99834,0.99457,0.90558,0.97869,0.99834,0.99457,0.99353,0.58355,0.03083,0.01679,0.34244,0.83853,0.00155697,0.00155697,0.00155697
181,3466.1,0.52675,0.03949,0.03913,0.32407,0.852,1,0.97799,0.99417,0.89473,1,0.99608,0.995,0.99496,0.58955,0.03523,0.03178,0.33639,0.83191,0.0015545,0.0015545,0.0015545
182,3485.63,0.51469,0.0351,0.04124,0.32201,0.84873,0.97857,0.99271,0.99415,0.90429,0.99385,1,0.995,0.99387,0.52761,0.04453,0.00679,0.31826,0.82675,0.00155203,0.00155203,0.00155203
183,3505.66,0.49575,0.03997,0.03363,0.31571,0.84448,0.99945,1,0.995,0.89325,0.99945,1,0.995,0.995,0.54019,0.03553,0.02583,0.30544,0.83777,0.00154955,0.00154955,0.00154955
184,3525.71,0.51704,0.03362,0.03353,0.32315,0.85079,1,0.99926,0.995,0.89448,1,0.99926,0.995,0.995,0.50596,0.02457,0.00724,0.30724,0.83198,0.00154707,0.00154707,0.00154707
185,3545.4,0.52095,0.03432,0.03597,0.32201,0.85402,1,0.9995,0.995,0.90205,1,0.9995,0.995,0.995,0.51049,0.04387,0.03287,0.29568,0.82882,0.0015446,0.0015446,0.0015446
186,3565.04,0.51405,0.03832,0.05089,0.32046,0.86236,0.97732,1,0.99457,0.90971,0.97732,1,0.99457,0.99457,0.51523,0.03473,0.0438,0.29807,0.81684,0.00154213,0.00154213,0.00154213
187,3585.39,0.51759,0.03924,0.05215,0.32319,0.85086,0.97763,1,0.99457,0.90284,0.97763,1,0.99457,0.99457,0.51433,0.03314,0.03728,0.28378,0.81667,0.00153965,0.00153965,0.00153965
188,3604.17,0.49556,0.03586,0.04656,0.3133,0.85456,1,0.99904,0.995,0.91153,1,0.99904,0.995,0.99474,0.48949,0.04546,0.03206,0.30744,0.81397,0.00153717,0.00153717,0.00153717
189,3623.87,0.51399,0.03837,0.04774,0.32054,0.85795,0.99867,0.97826,0.99457,0.8989,0.99867,0.97826,0.99457,0.99364,0.51735,0.05927,0.02207,0.3514,0.82501,0.0015347,0.0015347,0.0015347
190,3642.49,0.50054,0.03322,0.04222,0.32058,0.85802,1,0.99865,0.995,0.90526,1,0.99865,0.995,0.9939,0.52478,0.07105,0.01713,0.33533,0.82825,0.00153223,0.00153223,0.00153223
191,3661.98,0.49372,0.03851,0.03964,0.31471,0.84723,1,0.99882,0.995,0.9066,1,0.99882,0.995,0.995,0.50704,0.03564,0.01947,0.30118,0.8305,0.00152975,0.00152975,0.00152975
192,3681.85,0.50423,0.03871,0.04663,0.31938,0.85353,1,0.99915,0.995,0.90345,1,0.99915,0.995,0.995,0.51856,0.03586,0.01674,0.33784,0.83035,0.00152728,0.00152728,0.00152728
193,3700.27,0.4975,0.03304,0.04021,0.31175,0.84419,1,0.99888,0.995,0.91637,1,0.99888,0.995,0.995,0.50813,0.04218,0.01687,0.32143,0.8127,0.0015248,0.0015248,0.0015248
194,3719.87,0.49678,0.03776,0.04577,0.31269,0.85379,0.99856,1,0.995,0.90534,0.99856,1,0.995,0.995,0.49594,0.02558,0.01915,0.30422,0.8185,0.00152233,0.00152233,0.00152233
195,3738.83,0.51267,0.04105,0.04915,0.31495,0.84892,1,0.99753,0.995,0.90076,1,0.99753,0.995,0.995,0.53922,0.03027,0.01208,0.33817,0.84314,0.00151985,0.00151985,0.00151985
196,3759.09,0.51174,0.03487,0.04625,0.31266,0.85187,1,0.99931,0.995,0.90077,1,0.99931,0.995,0.995,0.50104,0.03542,0.01915,0.30452,0.83536,0.00151737,0.00151737,0.00151737
197,3777.97,0.5087,0.04019,0.04705,0.31504,0.85516,1,0.99857,0.995,0.90608,1,0.99857,0.995,0.995,0.54061,0.02071,0.03354,0.31324,0.82914,0.0015149,0.0015149,0.0015149
198,3797.52,0.50534,0.0357,0.03983,0.31908,0.85474,1,0.99806,0.995,0.90902,1,0.99806,0.995,0.995,0.51191,0.02388,0.01917,0.31716,0.83654,0.00151243,0.00151243,0.00151243
199,3816.27,0.49815,0.04167,0.03956,0.31871,0.84401,1,0.99853,0.995,0.91184,1,0.99853,0.995,0.995,0.479,0.02601,0.03042,0.32951,0.84011,0.00150995,0.00150995,0.00150995
200,3835.81,0.47977,0.03189,0.04175,0.30732,0.84109,1,0.99851,0.995,0.89751,1,0.99851,0.995,0.995,0.48539,0.02461,0.02806,0.30983,0.83619,0.00150747,0.00150747,0.00150747
201,3855.27,0.49277,0.03995,0.04463,0.32282,0.84945,1,0.99832,0.995,0.89803,1,0.99832,0.995,0.995,0.47946,0.02568,0.00505,0.31388,0.81984,0.001505,0.001505,0.001505
202,3874.29,0.49014,0.03449,0.04336,0.31434,0.84179,1,0.99863,0.995,0.89485,1,0.99863,0.995,0.995,0.48649,0.02777,0.00582,0.34637,0.81501,0.00150253,0.00150253,0.00150253
203,3893.85,0.49179,0.03449,0.04416,0.31686,0.85284,0.99871,0.97826,0.99457,0.89343,0.99871,0.97826,0.99457,0.99224,0.49949,0.02603,0.00811,0.36987,0.82331,0.00150005,0.00150005,0.00150005
204,3912.56,0.49614,0.02931,0.0404,0.31315,0.84962,1,0.99925,0.995,0.90033,1,0.99925,0.995,0.995,0.49155,0.02463,0.01338,0.31877,0.81741,0.00149758,0.00149758,0.00149758
205,3932.25,0.4926,0.03104,0.04142,0.31195,0.84412,1,0.99919,0.995,0.92577,1,0.99919,0.995,0.995,0.49179,0.02291,0.04187,0.31142,0.81266,0.0014951,0.0014951,0.0014951
206,3951.46,0.48614,0.03937,0.04267,0.31025,0.84397,1,0.99909,0.995,0.92565,1,0.99909,0.995,0.995,0.51274,0.0227,0.02896,0.30901,0.82314,0.00149263,0.00149263,0.00149263
207,3971.04,0.48275,0.03593,0.04041,0.30465,0.85378,0.99944,1,0.995,0.90806,0.99944,1,0.995,0.995,0.51186,0.02931,0.0327,0.29692,0.8309,0.00149015,0.00149015,0.00149015
208,3989.79,0.48011,0.03071,0.03887,0.30725,0.83032,1,0.99914,0.995,0.90043,1,0.99914,0.995,0.995,0.54581,0.03105,0.03305,0.31455,0.8322,0.00148767,0.00148767,0.00148767
209,4009.43,0.48194,0.03272,0.04165,0.30546,0.83756,1,0.99872,0.995,0.89603,1,0.99872,0.995,0.995,0.56858,0.04089,0.02587,0.31117,0.83947,0.0014852,0.0014852,0.0014852
210,4028.84,0.50481,0.03654,0.0405,0.32007,0.85696,1,0.99855,0.995,0.89474,1,0.99855,0.995,0.995,0.58045,0.02459,0.02067,0.33282,0.84151,0.00148273,0.00148273,0.00148273
211,4047.67,0.48683,0.03275,0.04717,0.30577,0.84947,0.99465,0.97826,0.99417,0.90275,0.99465,0.97826,0.99417,0.99417,0.54985,0.02016,0.03701,0.33518,0.83084,0.00148025,0.00148025,0.00148025
212,4068.24,0.48291,0.03456,0.04196,0.30434,0.84661,1,0.99892,0.995,0.89493,1,0.99892,0.995,0.995,0.53284,0.02347,0.05307,0.30996,0.82402,0.00147778,0.00147778,0.00147778
213,4088.43,0.4826,0.03704,0.05174,0.30665,0.84658,0.99404,0.97826,0.9934,0.91025,0.99404,0.97826,0.9934,0.9934,0.48083,0.02731,0.03535,0.34507,0.81451,0.0014753,0.0014753,0.0014753
214,4107.62,0.48931,0.03619,0.03786,0.30424,0.84678,0.99838,0.97826,0.99417,0.91254,1,0.99842,0.995,0.995,0.48051,0.03502,0.04856,0.32817,0.81629,0.00147283,0.00147283,0.00147283
215,4127.35,0.50046,0.03362,0.05222,0.31307,0.85032,1,0.99836,0.995,0.89711,1,0.99836,0.995,0.99484,0.49533,0.04125,0.05534,0.31526,0.8154,0.00147035,0.00147035,0.00147035
216,4146.13,0.48177,0.03424,0.04548,0.30704,0.84119,1,0.99852,0.995,0.90784,1,0.99852,0.995,0.995,0.49038,0.03237,0.02909,0.32618,0.81746,0.00146787,0.00146787,0.00146787
217,4165.75,0.49288,0.04153,0.04709,0.31202,0.85248,1,0.9992,0.995,0.90737,1,0.9992,0.995,0.995,0.4935,0.03542,0.04213,0.29334,0.82065,0.0014654,0.0014654,0.0014654
218,4184.54,0.48299,0.02995,0.04498,0.30476,0.84942,1,0.99819,0.995,0.89411,1,0.99819,0.995,0.995,0.51505,0.02694,0.00462,0.29649,0.83253,0.00146293,0.00146293,0.00146293
219,4204.77,0.48315,0.03273,0.03842,0.30212,0.84656,0.99758,0.97826,0.99457,0.89802,0.99758,0.97826,0.99457,0.99457,0.51953,0.03506,0.01992,0.3188,0.82783,0.00146045,0.00146045,0.00146045
220,4223.95,0.47783,0.02807,0.0362,0.30284,0.84226,1,0.99881,0.995,0.90657,1,0.99881,0.995,0.995,0.53255,0.04076,0.01609,0.3119,0.82232,0.00145798,0.00145798,0.00145798
221,4244.32,0.47782,0.02705,0.03403,0.29718,0.84189,0.99837,0.97826,0.99457,0.89905,0.99837,0.97826,0.99457,0.99457,0.54336,0.03416,0.02163,0.35271,0.82496,0.0014555,0.0014555,0.0014555
222,4264.96,0.48431,0.03344,0.04313,0.30741,0.85246,0.99999,1,0.995,0.90312,0.99999,1,0.995,0.995,0.54739,0.03003,0.02222,0.31213,0.82259,0.00145302,0.00145302,0.00145302
223,4284.65,0.47096,0.03314,0.03862,0.29862,0.83514,1,0.99898,0.995,0.89544,1,0.99898,0.995,0.99492,0.54991,0.03496,0.00344,0.34796,0.82754,0.00145055,0.00145055,0.00145055
224,4304.2,0.46719,0.03177,0.03626,0.2987,0.85254,1,0.9988,0.995,0.90433,1,0.9988,0.995,0.995,0.51464,0.02552,0.01578,0.33333,0.81572,0.00144808,0.00144808,0.00144808
225,4322.96,0.47723,0.03088,0.03999,0.29473,0.84166,1,0.9988,0.995,0.89859,1,0.9988,0.995,0.995,0.53314,0.02921,0.01969,0.3027,0.81719,0.0014456,0.0014456,0.0014456
226,4342.49,0.45581,0.03397,0.03927,0.29069,0.8393,1,0.99917,0.995,0.91189,1,0.99917,0.995,0.995,0.48996,0.03267,0.02567,0.31362,0.81786,0.00144312,0.00144312,0.00144312
227,4361.22,0.47585,0.02788,0.04842,0.2993,0.8496,1,0.99823,0.995,0.906,1,0.99823,0.995,0.995,0.50877,0.02388,0.02138,0.29075,0.8207,0.00144065,0.00144065,0.00144065
228,4380.94,0.47324,0.02814,0.04603,0.295,0.83768,0.99714,0.97826,0.99269,0.90982,0.99714,0.97826,0.99417,0.99402,0.51225,0.03524,0.0085,0.37146,0.81987,0.00143818,0.00143818,0.00143818
229,4400.61,0.46544,0.03407,0.03577,0.29402,0.84498,0.99841,0.97826,0.99457,0.90686,1,0.99852,0.995,0.995,0.50869,0.02565,0.0347,0.37987,0.83449,0.0014357,0.0014357,0.0014357
230,4419.32,0.48213,0.03719,0.03248,0.29966,0.84505,0.99807,0.97826,0.99457,0.90114,0.99807,0.97826,0.99457,0.99457,0.49613,0.02516,0.02738,0.3458,0.83123,0.00143322,0.00143322,0.00143322
231,4438.88,0.46607,0.03179,0.04171,0.29832,0.84132,0.99915,1,0.995,0.90008,0.99915,1,0.995,0.995,0.50795,0.02725,0.04448,0.3014,0.82715,0.00143075,0.00143075,0.00143075
232,4457.64,0.48161,0.03275,0.04537,0.2918,0.84828,0.99978,1,0.995,0.90574,0.99978,1,0.995,0.995,0.51755,0.0273,0.02149,0.27225,0.82853,0.00142827,0.00142827,0.00142827
233,4477.37,0.46324,0.02915,0.04139,0.29261,0.8332,1,0.99918,0.995,0.91127,1,0.99918,0.995,0.995,0.50764,0.02195,0.00975,0.30993,0.82423,0.0014258,0.0014258,0.0014258
234,4496.06,0.47698,0.03184,0.04007,0.29715,0.84918,1,0.99805,0.995,0.91182,1,0.99805,0.995,0.995,0.5065,0.02158,0.00651,0.29484,0.82896,0.00142333,0.00142333,0.00142333
235,4515.61,0.47969,0.03129,0.03712,0.29927,0.84666,0.99752,0.97826,0.99378,0.89811,1,0.99776,0.995,0.995,0.52094,0.02502,0.01427,0.34396,0.83631,0.00142085,0.00142085,0.00142085
236,4534.26,0.47073,0.03335,0.0251,0.29142,0.8467,0.99819,0.97826,0.99417,0.90857,1,0.99903,0.995,0.995,0.52294,0.02737,0.02185,0.35,0.83398,0.00141838,0.00141838,0.00141838
237,4553.8,0.48263,0.0299,0.03438,0.29583,0.83858,0.99732,0.97826,0.99417,0.90872,1,0.99882,0.995,0.995,0.49374,0.02991,0.01058,0.33004,0.82488,0.0014159,0.0014159,0.0014159
238,4573.34,0.46278,0.02769,0.03928,0.2908,0.84438,0.99691,0.97826,0.99417,0.91371,1,0.99887,0.995,0.995,0.47181,0.03043,0.04519,0.31368,0.82603,0.00141343,0.00141343,0.00141343
239,4592.14,0.46619,0.03003,0.04051,0.29036,0.84709,0.99805,0.97826,0.99457,0.89577,1,0.99898,0.995,0.995,0.52127,0.0221,0.01121,0.33805,0.83519,0.00141095,0.00141095,0.00141095
240,4612.78,0.46864,0.02576,0.03948,0.29028,0.84308,1,0.99842,0.995,0.91338,1,0.99842,0.995,0.995,0.5091,0.02561,0.03082,0.31259,0.82175,0.00140847,0.00140847,0.00140847
