epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,122.17,1.0216,2.13982,0.97562,0.00754,0.41667,0.35083,0.28053,0.78798,3.3531,0.87801,0.00064,0.00064,0.00064
2,239.578,0.99275,1.45168,0.97715,1,0.39958,0.46166,0.37917,0.91932,2.94977,0.92636,0.00128713,0.00128713,0.00128713
3,358.453,0.97055,1.27778,0.98089,0.67483,0.41667,0.45063,0.34365,0.92112,2.27495,0.99574,0.00192119,0.00192119,0.00192119
4,475.377,1.00802,1.18476,1.01144,0.65124,0.77934,0.80373,0.57747,1.0296,1.67419,1.036,0.0019406,0.0019406,0.0019406
5,600.987,0.96634,1.05875,0.99877,0.83804,0.86392,0.95451,0.68545,1.02341,1.3028,1.05782,0.0019208,0.0019208,0.0019208
6,732.624,0.94575,0.97548,0.98784,0.96361,1,0.995,0.74175,0.8668,1.06555,1.02054,0.001901,0.001901,0.001901
7,861.599,0.9325,0.89877,0.98513,0.99918,1,0.995,0.77492,0.81882,0.84057,0.96288,0.0018812,0.0018812,0.0018812
8,992.335,0.90594,0.82846,0.97543,0.9961,0.91667,0.98357,0.80829,0.85502,0.79015,0.99135,0.0018614,0.0018614,0.0018614
9,1121.91,0.84635,0.75309,0.95921,0.90698,1,0.98885,0.78439,0.84939,0.88633,0.94991,0.0018416,0.0018416,0.0018416
10,1253.48,0.83685,0.72622,0.95775,1,0.90207,0.979,0.79498,0.77602,0.69231,0.93701,0.0018218,0.0018218,0.0018218
11,1384.65,0.84445,0.70186,0.95338,0.92277,0.996,0.98269,0.80662,0.80478,0.68929,0.9675,0.001802,0.001802,0.001802
12,1517.81,0.81683,0.67123,0.94175,1,0.97425,0.995,0.77258,0.76486,0.7314,0.955,0.0017822,0.0017822,0.0017822
13,1649.14,0.84079,0.64727,0.95473,1,0.99216,0.995,0.84439,0.63869,0.63172,0.92116,0.0017624,0.0017624,0.0017624
14,1778.25,0.81687,0.65214,0.93436,1,0.98791,0.995,0.81583,0.69618,0.62682,0.91869,0.0017426,0.0017426,0.0017426
15,1911.48,0.78063,0.6118,0.94367,0.98284,1,0.995,0.78443,0.7932,0.6395,0.93527,0.0017228,0.0017228,0.0017228
16,2040.6,0.82357,0.62718,0.93972,0.99034,1,0.995,0.84935,0.71549,0.58449,0.91922,0.001703,0.001703,0.001703
17,2173.65,0.79091,0.5885,0.93079,0.98751,1,0.995,0.83332,0.69406,0.5531,0.919,0.0016832,0.0016832,0.0016832
18,2303.49,0.81718,0.61697,0.94504,0.98351,1,0.995,0.80883,0.75655,0.5442,0.95687,0.0016634,0.0016634,0.0016634
19,2432.36,0.78674,0.56954,0.93782,0.98534,1,0.995,0.81458,0.71224,0.51963,0.93197,0.0016436,0.0016436,0.0016436
20,2563.7,0.7463,0.54402,0.90896,0.99163,1,0.995,0.83605,0.63944,0.43388,0.90684,0.0016238,0.0016238,0.0016238
21,2694.03,0.73459,0.55075,0.91667,0.98029,1,0.995,0.86417,0.67643,0.48726,0.91208,0.001604,0.001604,0.001604
22,2826.27,0.75933,0.55917,0.92696,0.98103,1,0.995,0.83619,0.66573,0.51052,0.92339,0.0015842,0.0015842,0.0015842
23,2956.36,0.75363,0.54232,0.91844,0.98433,1,0.995,0.81891,0.72986,0.47284,0.9299,0.0015644,0.0015644,0.0015644
24,3087.95,0.78813,0.55189,0.93666,0.99159,1,0.995,0.80462,0.76414,0.49381,0.9474,0.0015446,0.0015446,0.0015446
25,3217.24,0.74191,0.5353,0.91497,0.95199,1,0.995,0.85134,0.64411,0.48052,0.90885,0.0015248,0.0015248,0.0015248
26,3347.13,0.74405,0.52293,0.90437,0.98796,1,0.995,0.84325,0.68649,0.42587,0.92461,0.001505,0.001505,0.001505
27,3480.25,0.73008,0.52944,0.91277,0.98259,1,0.995,0.82615,0.67413,0.44177,0.91454,0.0014852,0.0014852,0.0014852
28,3612.66,0.72859,0.52345,0.91156,0.98887,1,0.995,0.83828,0.70388,0.45974,0.93867,0.0014654,0.0014654,0.0014654
29,3747.2,0.72928,0.51432,0.89876,0.99072,1,0.995,0.85396,0.65776,0.4403,0.93518,0.0014456,0.0014456,0.0014456
30,3878.85,0.74556,0.51327,0.91806,0.99106,1,0.995,0.77126,0.75698,0.5036,0.93153,0.0014258,0.0014258,0.0014258
31,4009.27,0.69587,0.49534,0.9025,0.98905,1,0.995,0.84788,0.65625,0.49394,0.91297,0.001406,0.001406,0.001406
32,4139.83,0.74976,0.51535,0.91975,1,0.91296,0.98357,0.77857,0.73539,0.55022,0.93753,0.0013862,0.0013862,0.0013862
33,4268.09,0.72271,0.50695,0.89452,0.97316,1,0.995,0.82258,0.70317,0.47021,0.94085,0.0013664,0.0013664,0.0013664
34,4395.58,0.74018,0.50934,0.91829,0.97997,1,0.995,0.80442,0.68529,0.42236,0.92878,0.0013466,0.0013466,0.0013466
35,4523.07,0.72231,0.48606,0.91154,0.97016,1,0.995,0.8411,0.63942,0.4348,0.91463,0.0013268,0.0013268,0.0013268
36,4652.09,0.71984,0.48849,0.9145,0.97318,1,0.995,0.80515,0.65212,0.45931,0.91429,0.001307,0.001307,0.001307
37,4777.67,0.70946,0.5005,0.90428,0.98431,1,0.995,0.84706,0.64031,0.43439,0.89262,0.0012872,0.0012872,0.0012872
38,4902.01,0.69639,0.48716,0.89633,0.99053,1,0.995,0.83553,0.67558,0.43562,0.91491,0.0012674,0.0012674,0.0012674
39,5025.7,0.68182,0.46697,0.89801,0.98985,1,0.995,0.83618,0.65557,0.38971,0.91577,0.0012476,0.0012476,0.0012476
40,5149.12,0.71273,0.48775,0.92041,0.99274,1,0.995,0.85955,0.6412,0.38836,0.92926,0.0012278,0.0012278,0.0012278
41,5276.12,0.67398,0.46272,0.89125,0.98961,1,0.995,0.86106,0.63181,0.39535,0.8993,0.001208,0.001208,0.001208
42,5399.64,0.68777,0.47896,0.89798,0.97315,1,0.995,0.85303,0.63649,0.42618,0.89983,0.0011882,0.0011882,0.0011882
43,5526.92,0.70081,0.46198,0.90472,0.98202,1,0.995,0.81733,0.74672,0.43631,0.90797,0.0011684,0.0011684,0.0011684
44,5651.23,0.70763,0.47805,0.90458,0.98694,1,0.995,0.83999,0.65814,0.44344,0.91708,0.0011486,0.0011486,0.0011486
45,5777.93,0.69802,0.46259,0.90429,0.99168,1,0.995,0.85214,0.66458,0.38591,0.89972,0.0011288,0.0011288,0.0011288
46,5903.83,0.67715,0.46047,0.89595,0.98491,1,0.995,0.86212,0.61826,0.4519,0.89844,0.001109,0.001109,0.001109
47,6029.15,0.67162,0.44222,0.89031,0.97902,1,0.995,0.86011,0.59621,0.42173,0.89839,0.0010892,0.0010892,0.0010892
48,6155.04,0.65172,0.4399,0.89176,0.98958,1,0.995,0.84409,0.63989,0.37123,0.91026,0.0010694,0.0010694,0.0010694
49,6281.71,0.64837,0.44166,0.89264,0.9831,1,0.995,0.83505,0.65156,0.39848,0.90689,0.0010496,0.0010496,0.0010496
50,6406.46,0.65427,0.4518,0.89152,0.97081,1,0.995,0.84203,0.63468,0.40203,0.89628,0.0010298,0.0010298,0.0010298
51,6530.26,0.66159,0.4468,0.89493,0.99089,1,0.995,0.82649,0.72117,0.37118,0.92005,0.00101,0.00101,0.00101
52,6656.23,0.65006,0.44072,0.88278,0.98927,1,0.995,0.83217,0.67113,0.41225,0.90928,0.0009902,0.0009902,0.0009902
53,6783.5,0.674,0.45079,0.9019,0.99636,1,0.995,0.85763,0.61982,0.3714,0.90242,0.0009704,0.0009704,0.0009704
54,6909.72,0.63144,0.42133,0.88093,0.98627,1,0.995,0.85681,0.63998,0.37645,0.89319,0.0009506,0.0009506,0.0009506
55,7035.14,0.64756,0.42746,0.88438,0.99278,1,0.995,0.85132,0.64074,0.35273,0.91001,0.0009308,0.0009308,0.0009308
56,7159,0.63462,0.41749,0.87592,0.98934,1,0.995,0.84185,0.59893,0.36387,0.88875,0.000911,0.000911,0.000911
57,7285.25,0.63028,0.41005,0.88518,0.98958,1,0.995,0.86068,0.57884,0.37019,0.90766,0.0008912,0.0008912,0.0008912
58,7409.68,0.62576,0.41293,0.87741,0.9937,1,0.995,0.82955,0.61974,0.36919,0.91013,0.0008714,0.0008714,0.0008714
