epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,32.7571,1.50128,2.09901,0.82031,2.82082,1.40411,0.91388,0.79593,0.8849,0.73488,0.85386,0.9,0.90418,0.48029,0.73401,1.75082,0.64002,0.69659,0.91519,0.00196296,0.000654321,0.00196296,0.000654321,0.00196296,0.000654321,0.00196296,0.000654321
2,46.5346,0.80057,0.94905,0.55975,0.66626,0.95926,0.97031,0.9,0.98279,0.85819,0.97031,0.9,0.98279,0.83346,0.61026,0.62884,0.37657,0.43176,0.89023,0.00395315,0.00131772,0.00395315,0.00131772,0.00395315,0.00131772,0.00395315,0.00131772
3,59.9527,0.70745,0.38247,0.45852,0.53244,0.90746,0.96949,0.975,0.9928,0.87395,0.96949,0.975,0.9928,0.94155,0.60478,0.29186,0.2908,0.41746,0.88334,0.00593345,0.00197782,0.00593345,0.00197782,0.00593345,0.00197782,0.00593345,0.00197782
4,73.1495,0.71059,0.26411,0.40413,0.54028,0.91646,0.97558,0.99888,0.99207,0.86331,0.97558,0.99888,0.99207,0.98523,0.60195,0.20148,0.21407,0.40396,0.87289,0.00595545,0.00198515,0.00595545,0.00198515,0.00595545,0.00198515,0.00595545,0.00198515
5,86.44,0.66863,0.19718,0.34532,0.48015,0.89343,0.94706,1,0.99205,0.85323,0.94706,1,0.99205,0.97439,0.61429,0.18354,0.15853,0.40584,0.87029,0.0059406,0.0019802,0.0059406,0.0019802,0.0059406,0.0019802,0.0059406,0.0019802
6,99.4258,0.65811,0.16564,0.27694,0.44936,0.8894,0.97241,0.975,0.9928,0.86717,0.97241,0.975,0.9928,0.9839,0.57678,0.13527,0.13768,0.39707,0.85819,0.00592575,0.00197525,0.00592575,0.00197525,0.00592575,0.00197525,0.00592575,0.00197525
7,112.74,0.65435,0.15539,0.24705,0.44119,0.88424,0.9743,0.975,0.9936,0.87955,0.9743,0.975,0.9936,0.98387,0.52892,0.1455,0.11185,0.39598,0.86002,0.0059109,0.0019703,0.0059109,0.0019703,0.0059109,0.0019703,0.0059109,0.0019703
8,126.374,0.6213,0.13294,0.24137,0.43133,0.88176,0.95093,0.975,0.99114,0.86728,0.95093,0.975,0.99114,0.98959,0.57691,0.09456,0.10357,0.42902,0.88708,0.00589605,0.00196535,0.00589605,0.00196535,0.00589605,0.00196535,0.00589605,0.00196535
9,139.93,0.60859,0.1088,0.2212,0.41963,0.87245,0.99023,0.975,0.99278,0.8767,0.99023,0.975,0.99278,0.99278,0.56404,0.10716,0.08909,0.40128,0.87852,0.0058812,0.0019604,0.0058812,0.0019604,0.0058812,0.0019604,0.0058812,0.0019604
10,154.085,0.60252,0.10957,0.18769,0.42232,0.86533,0.99409,0.975,0.99405,0.87545,0.99409,0.975,0.99405,0.99405,0.56779,0.06081,0.07427,0.38802,0.88183,0.00586635,0.00195545,0.00586635,0.00195545,0.00586635,0.00195545,0.00586635,0.00195545
