epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
21,1332.38,0.66522,0.07463,0.08474,0.43922,0.91665,0.98186,0.9878,0.99249,0.87803,0.98186,0.9878,0.99249,0.99166,0.52821,0.04245,0.06645,0.35889,0.85438,0.0291514,0.00971714,0.0291514,0.00971714,0.0291514,0.00971714,0.0291514,0.00971714
22,1393.41,0.66271,0.07648,0.08803,0.42786,0.91073,0.99786,0.97561,0.99375,0.90382,0.99933,0.9878,0.99476,0.98938,0.53375,0.07721,0.04799,0.34851,0.86215,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
23,1454.1,0.6585,0.06466,0.08992,0.43054,0.90791,0.99502,0.9878,0.99453,0.89288,0.99502,0.9878,0.99453,0.9897,0.52931,0.04298,0.02005,0.3379,0.86248,0.0290666,0.00968886,0.0290666,0.00968886,0.0290666,0.00968886,0.0290666,0.00968886
24,1514.96,0.65924,0.06696,0.09104,0.42788,0.91203,0.98775,0.98354,0.99389,0.88358,0.98775,0.98354,0.99389,0.98931,0.53458,0.06547,0.04129,0.33739,0.8558,0.0290241,0.00967471,0.0290241,0.00967471,0.0290241,0.00967471,0.0290241,0.00967471
25,1575.96,0.64469,0.06657,0.08748,0.41996,0.90301,1,0.97553,0.9942,0.89033,1,0.97553,0.9942,0.99344,0.51457,0.03441,0.01451,0.31787,0.85208,0.0289817,0.00966057,0.0289817,0.00966057,0.0289817,0.00966057,0.0289817,0.00966057
26,1636.68,0.64243,0.06473,0.09304,0.41526,0.90911,0.99538,1,0.995,0.90732,0.99538,1,0.995,0.9913,0.50782,0.04736,0.03406,0.31694,0.8539,0.0289393,0.00964643,0.0289393,0.00964643,0.0289393,0.00964643,0.0289393,0.00964643
27,1697.87,0.64234,0.06248,0.08486,0.41499,0.89898,0.99755,0.9878,0.99476,0.89463,0.99755,0.9878,0.99476,0.99351,0.51935,0.03337,0.04558,0.31961,0.85875,0.0288969,0.00963229,0.0288969,0.00963229,0.0288969,0.00963229,0.0288969,0.00963229
28,1758.5,0.629,0.06621,0.08369,0.41082,0.89779,0.9759,0.98766,0.99131,0.88053,0.9759,0.98766,0.99131,0.98768,0.54012,0.0399,0.01537,0.33433,0.86521,0.0288544,0.00961814,0.0288544,0.00961814,0.0288544,0.00961814,0.0288544,0.00961814
29,1819.4,0.63231,0.06341,0.08181,0.41306,0.89603,0.98794,0.99937,0.9938,0.89485,0.98794,0.99937,0.9938,0.99159,0.51141,0.03755,0.01396,0.31333,0.85457,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
30,1880.07,0.61988,0.05694,0.07755,0.39489,0.89452,0.99873,0.9878,0.99476,0.89673,0.99873,0.9878,0.99476,0.99409,0.47908,0.02964,0.02957,0.29375,0.84343,0.0287696,0.00958986,0.0287696,0.00958986,0.0287696,0.00958986,0.0287696,0.00958986
