epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4723.5,0.79386,0.48725,0.93032,0.90598,0.90909,0.90203,0.74514,0.70066,0.5778,0.88659,0.0011684,0.0011684,0.0011684
44,4832.89,0.74867,0.46788,0.90851,1,0.90643,0.93914,0.78041,0.71358,0.61888,0.87604,0.0011486,0.0011486,0.0011486
45,4941.8,0.77146,0.46593,0.90861,0.99539,0.90909,0.98115,0.85469,0.67286,0.54045,0.86594,0.0011288,0.0011288,0.0011288
46,5050.54,0.76443,0.46562,0.9086,0.99669,0.90909,0.92404,0.74243,0.79665,0.55224,0.87662,0.001109,0.001109,0.001109
47,5159.29,0.759,0.45739,0.90071,1,0.90639,0.92652,0.73328,0.906,0.62574,0.93718,0.0010892,0.0010892,0.0010892
48,5269.11,0.76189,0.46783,0.91154,1,0.99425,0.995,0.83503,0.76531,0.48097,0.8873,0.0010694,0.0010694,0.0010694
49,5377.21,0.74456,0.46708,0.90743,1,0.99208,0.995,0.79422,0.78848,0.47668,0.88853,0.0010496,0.0010496,0.0010496
50,5484.3,0.74711,0.46293,0.90748,1,0.98947,0.995,0.74813,0.89401,0.53581,0.95563,0.0010298,0.0010298,0.0010298
51,5592.78,0.75425,0.45403,0.90833,0.99959,0.90909,0.96,0.77828,0.90785,0.61466,0.97228,0.00101,0.00101,0.00101
52,5699.27,0.74273,0.44873,0.90037,1,0.90349,0.93594,0.76226,0.80292,0.64446,0.91646,0.0009902,0.0009902,0.0009902
53,5806.47,0.73458,0.45361,0.899,1,0.903,0.92047,0.75375,0.76446,0.61787,0.90428,0.0009704,0.0009704,0.0009704
54,5913.54,0.74803,0.45608,0.91369,1,0.90716,0.93412,0.77064,0.7995,0.63328,0.9364,0.0009506,0.0009506,0.0009506
55,6022.43,0.7273,0.44481,0.89896,0.98626,1,0.995,0.8333,0.70806,0.49873,0.86165,0.0009308,0.0009308,0.0009308
56,6129.89,0.72523,0.44584,0.89722,1,0.90608,0.95,0.80941,0.72875,0.51551,0.86804,0.000911,0.000911,0.000911
57,6238.22,0.72084,0.44065,0.8992,0.99884,0.90909,0.92857,0.806,0.77234,0.53909,0.89964,0.0008912,0.0008912,0.0008912
58,6346.23,0.72751,0.43034,0.89383,0.99612,0.90909,0.92,0.77869,0.89284,0.67956,0.98216,0.0008714,0.0008714,0.0008714
59,6454,0.72943,0.43928,0.91246,0.9977,0.90909,0.92857,0.79261,0.81925,0.60186,0.97372,0.0008516,0.0008516,0.0008516
60,6561.18,0.72332,0.44833,0.88926,0.99501,0.90909,0.96324,0.80427,0.73801,0.51078,0.8774,0.0008318,0.0008318,0.0008318
61,6668.58,0.72916,0.4326,0.90343,1,0.90905,0.96687,0.81534,0.83054,0.71558,0.91391,0.000812,0.000812,0.000812
62,6777.41,0.69004,0.41415,0.8915,1,0.90829,0.971,0.80308,0.76398,0.49271,0.88784,0.0007922,0.0007922,0.0007922
63,6887.23,0.71354,0.43242,0.90328,1,0.90398,0.92857,0.80804,0.75986,0.52857,0.89301,0.0007724,0.0007724,0.0007724
