epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
22,186.693,0.58001,0.09058,0.17703,0.40838,0.85164,0.99699,0.975,0.99451,0.86905,0.99699,0.975,0.99451,0.99451,0.55924,0.04802,0.04996,0.34021,0.87137,0.0053763,0.0017921,0.0053763,0.0017921,0.0053763,0.0017921,0.0053763,0.0017921
23,194.699,0.54806,0.09084,0.15524,0.38636,0.85408,1,0.9992,0.995,0.87485,1,0.9992,0.995,0.995,0.56406,0.0359,0.0474,0.34655,0.87564,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822
24,202.563,0.54824,0.06516,0.12673,0.37971,0.85118,1,0.99966,0.995,0.89036,1,0.99966,0.995,0.995,0.5332,0.03331,0.04496,0.34974,0.88014,0.0053169,0.0017723,0.0053169,0.0017723,0.0053169,0.0017723,0.0053169,0.0017723
25,210.254,0.57006,0.07041,0.15363,0.38226,0.85607,0.99873,1,0.995,0.86569,0.99873,1,0.995,0.995,0.56981,0.03943,0.04308,0.35084,0.8817,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
26,218.276,0.55348,0.07173,0.11249,0.37482,0.83637,0.99853,1,0.995,0.88239,0.99853,1,0.995,0.995,0.5222,0.03815,0.0378,0.3402,0.87917,0.0052575,0.0017525,0.0052575,0.0017525,0.0052575,0.0017525,0.0052575,0.0017525
27,225.692,0.54997,0.06215,0.12479,0.3865,0.85414,0.99864,1,0.995,0.88419,0.99864,1,0.995,0.995,0.52329,0.04339,0.03794,0.33944,0.87335,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426
28,233.874,0.55279,0.07975,0.11901,0.37638,0.86469,0.99828,1,0.995,0.87874,0.99828,1,0.995,0.995,0.56821,0.03512,0.03376,0.31822,0.87141,0.0051981,0.0017327,0.0051981,0.0017327,0.0051981,0.0017327,0.0051981,0.0017327
29,241.305,0.52902,0.0603,0.10516,0.37773,0.84639,0.99785,1,0.995,0.89361,0.99785,1,0.995,0.99421,0.52984,0.03888,0.03168,0.32429,0.86888,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
30,248.92,0.52539,0.06578,0.10807,0.3592,0.85954,0.99774,1,0.995,0.90802,0.99774,1,0.995,0.995,0.54763,0.04568,0.04024,0.33262,0.86759,0.0051387,0.0017129,0.0051387,0.0017129,0.0051387,0.0017129,0.0051387,0.0017129
31,256.93,0.5261,0.06353,0.09097,0.37283,0.84713,0.999,1,0.995,0.88308,0.999,1,0.995,0.995,0.54307,0.04222,0.03204,0.33022,0.87236,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703
32,264.317,0.53481,0.07101,0.09791,0.37247,0.85059,1,0.99817,0.995,0.87341,1,0.99817,0.995,0.99228,0.57145,0.05082,0.02701,0.34557,0.87707,0.0050793,0.0016931,0.0050793,0.0016931,0.0050793,0.0016931,0.0050793,0.0016931
33,271.984,0.52553,0.06626,0.09372,0.37901,0.85968,1,0.99772,0.995,0.88298,1,0.99772,0.995,0.99177,0.54568,0.04357,0.02314,0.33824,0.8778,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
34,279.619,0.52205,0.06038,0.10779,0.36589,0.85324,1,0.99903,0.995,0.87688,1,0.99903,0.995,0.995,0.56291,0.0436,0.02235,0.33448,0.88597,0.0050199,0.0016733,0.0050199,0.0016733,0.0050199,0.0016733,0.0050199,0.0016733
35,287.125,0.55247,0.06188,0.10462,0.37377,0.86485,1,0.99961,0.995,0.88409,1,0.99961,0.995,0.995,0.55604,0.03701,0.02296,0.34964,0.87867,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634
