epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
22,417.991,0.53303,0.04426,0.05961,0.35828,0.85371,1,0.99848,0.995,0.9081,1,0.99848,0.995,0.995,0.4956,0.02218,0.00876,0.29972,0.86093,0.00575052,0.00191684,0.00575052,0.00191684,0.00575052,0.00191684,0.00575052,0.00191684
23,436.061,0.52844,0.0495,0.06691,0.34863,0.84685,1,0.99993,0.995,0.88462,1,0.99993,0.995,0.995,0.51495,0.02229,0.00828,0.29911,0.86068,0.00573864,0.00191288,0.00573864,0.00191288,0.00573864,0.00191288,0.00573864,0.00191288
24,453.759,0.52492,0.04537,0.06471,0.35011,0.84923,0.99842,1,0.995,0.90804,0.99842,1,0.995,0.995,0.4862,0.02128,0.00806,0.30777,0.85777,0.00572676,0.00190892,0.00572676,0.00190892,0.00572676,0.00190892,0.00572676,0.00190892
25,471.973,0.5281,0.0375,0.05617,0.35145,0.85848,0.999,1,0.995,0.91203,0.999,1,0.995,0.995,0.46446,0.01874,0.00633,0.29369,0.85396,0.00571488,0.00190496,0.00571488,0.00190496,0.00571488,0.00190496,0.00571488,0.00190496
26,490.101,0.53558,0.04214,0.05187,0.34629,0.8623,1,0.99976,0.995,0.89343,1,0.99976,0.995,0.995,0.48751,0.02068,0.00561,0.3177,0.86176,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901
27,508.053,0.5273,0.03748,0.05477,0.34809,0.84528,1,0.99845,0.995,0.91268,1,0.99845,0.995,0.995,0.49592,0.01706,0.0079,0.33143,0.84785,0.00569112,0.00189704,0.00569112,0.00189704,0.00569112,0.00189704,0.00569112,0.00189704
28,526.05,0.53417,0.04891,0.05684,0.35348,0.8511,1,0.99875,0.995,0.89249,1,0.99875,0.995,0.995,0.5099,0.01886,0.01825,0.31951,0.86746,0.00567924,0.00189308,0.00567924,0.00189308,0.00567924,0.00189308,0.00567924,0.00189308
29,544.053,0.5195,0.03608,0.05299,0.34127,0.83749,1,0.99824,0.995,0.90373,1,0.99824,0.995,0.995,0.5264,0.01994,0.00817,0.32371,0.86709,0.00566736,0.00188912,0.00566736,0.00188912,0.00566736,0.00188912,0.00566736,0.00188912
30,562.011,0.54571,0.03945,0.0527,0.34916,0.86921,0.99833,0.975,0.99451,0.90035,0.99833,0.975,0.99451,0.99451,0.48884,0.01647,0.00694,0.30166,0.86033,0.00565548,0.00188516,0.00565548,0.00188516,0.00565548,0.00188516,0.00565548,0.00188516
31,580.017,0.52129,0.03425,0.04129,0.34808,0.85851,0.99749,0.975,0.99318,0.89454,0.99749,0.975,0.9936,0.9936,0.50222,0.01909,0.00588,0.30002,0.85157,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
32,598.057,0.51754,0.03292,0.04743,0.33574,0.85063,0.97555,0.99741,0.99451,0.9094,0.97555,0.99741,0.99451,0.99451,0.48839,0.02252,0.00752,0.29954,0.84796,0.00563172,0.00187724,0.00563172,0.00187724,0.00563172,0.00187724,0.00563172,0.00187724
33,615.953,0.50643,0.03426,0.05297,0.33816,0.84236,0.99762,0.975,0.99451,0.91886,0.99762,0.975,0.99451,0.99451,0.46726,0.02421,0.0077,0.29354,0.84679,0.00561984,0.00187328,0.00561984,0.00187328,0.00561984,0.00187328,0.00561984,0.00187328
34,633.944,0.51747,0.03672,0.04945,0.33663,0.84274,0.99888,1,0.995,0.91133,0.99888,1,0.995,0.995,0.47329,0.01945,0.0074,0.30482,0.85516,0.00560796,0.00186932,0.00560796,0.00186932,0.00560796,0.00186932,0.00560796,0.00186932
