epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,428.373,0.92615,2.5502,0.98845,0.91674,1,0.97633,0.72756,0.78995,2.82288,0.90865,0.000647059,0.000647059,0.000647059
2,966.01,0.97313,1.03446,1.02419,0.30461,0.42857,0.32742,0.26066,0.85858,2.85712,1.01775,0.00130072,0.00130072,0.00130072
3,1299.36,0.99614,0.89438,1.04119,0.12665,0.71429,0.12029,0.08924,1.02814,10.8344,1.21978,0.00194118,0.00194118,0.00194118
4,1695.21,1.01073,0.8425,1.03747,0.77999,0.78571,0.85376,0.62003,0.90306,2.40479,0.9923,0.0019406,0.0019406,0.0019406
5,2036.55,1.02831,0.87297,1.06106,0.4661,0.57143,0.58266,0.43434,0.95479,2.3425,1.08817,0.0019208,0.0019208,0.0019208
6,2379.55,0.98242,0.79382,1.04086,0.9085,0.85714,0.91929,0.7484,0.78997,1.56185,0.97807,0.001901,0.001901,0.001901
7,2721.05,0.98293,0.70451,1.0469,0.87287,1,0.967,0.79615,0.76184,0.95768,0.9592,0.0018812,0.0018812,0.0018812
8,3056.15,0.94919,0.69774,1.01943,0.88339,0.71429,0.78067,0.67925,0.72307,0.9997,0.9595,0.0018614,0.0018614,0.0018614
9,3390.51,0.94983,0.70754,1.03477,0.92108,0.92857,0.90883,0.74253,0.65484,0.74025,0.94306,0.0018416,0.0018416,0.0018416
10,3723.44,0.92631,0.6898,1.01494,0.86194,1,0.98125,0.84368,0.69304,0.82069,0.9585,0.0018218,0.0018218,0.0018218
11,4028.43,0.88226,0.62181,1.00892,0.8567,0.78571,0.81918,0.70759,0.64981,1.70278,0.9387,0.001802,0.001802,0.001802
12,4335.84,0.88492,0.61949,0.99267,0.87432,0.99417,0.95125,0.80007,0.59262,0.52253,0.8981,0.0017822,0.0017822,0.0017822
