sequence,tracker,runtime_seconds,observation_count,kept_observation_count,covered_observation_count,rejected_observation_count,pair_true_positive,pair_false_positive,pair_false_negative,pairwise_precision,pairwise_recall,pairwise_f1,emitted_track_count,scored_partition_count,contaminated_track_count,contaminated_observation_count,gold_identity_count,fragmented_identity_count,fragmentation_excess,exact_partition,gold_discard_count,rejection_true_positive,rejection_false_positive,rejection_false_negative,rejection_precision,rejection_recall,rejection_f1
2025_07_17_S_OC_F_003,production_preprocessor_ilp,1.3450135000166483,142,142,142,0,5019,0,0,1.0,1.0,1.0,2,2,0,0,2,0,0,True,0,0,0,0,1.0,1.0,1.0
2025_07_17_W_OC_B_001,boxmot_oc_sort,0.04998209999757819,200,197,195,2,9619,0,167,1.0,0.9829348048232168,0.9913939706261273,2,4,0,0,2,1,2,False,3,3,2,0,0.6,1.0,0.7499999999999999
2025_07_17_W_OC_B_001,boxmot_bot_sort_gmc_no_reid,2.7153876000083983,200,197,196,1,7942,0,1844,1.0,0.8115675454731248,0.8959837545126353,3,4,0,0,2,1,2,False,3,3,1,0,0.75,1.0,0.8571428571428571
2025_07_17_W_OC_B_001,production_preprocessor_ilp,2.0023982000129763,200,197,197,0,9786,0,0,1.0,1.0,1.0,2,2,0,0,2,0,0,True,3,3,0,0,1.0,1.0,1.0
2025_07_17_W_OC_F_001,boxmot_oc_sort,0.019067499990342185,84,84,84,0,1722,0,0,1.0,1.0,1.0,2,2,0,0,2,0,0,True,0,0,0,0,1.0,1.0,1.0
2025_07_17_W_OC_F_001,boxmot_bot_sort_gmc_no_reid,1.066260899999179,84,84,84,0,1722,0,0,1.0,1.0,1.0,2,2,0,0,2,0,0,True,0,0,0,0,1.0,1.0,1.0
2025_07_17_W_OC_F_001,production_preprocessor_ilp,0.7995068999880459,84,84,84,0,1722,0,0,1.0,1.0,1.0,2,2,0,0,2,0,0,True,0,0,0,0,1.0,1.0,1.0
B_F_R_Crash,boxmot_oc_sort,0.7711345000134315,3126,3126,3082,44,1655204,0,665499,1.0,0.7132338778378793,0.8326170607109271,5,49,0,0,5,4,44,False,0,0,44,0,0.0,1.0,0.0
B_F_R_Crash,boxmot_bot_sort_gmc_no_reid,50.03417460000492,3126,3126,3115,11,1656504,3321,664199,0.9979991866612444,0.7137940529227566,0.83230365418859,6,17,1,1110,5,5,13,False,0,0,11,0,0.0,1.0,0.0
B_F_R_Crash,production_preprocessor_ilp,32.586751800001366,3126,3126,3120,6,2319055,0,1648,1.0,0.9992898703539401,0.9996448090611623,4,10,0,0,5,2,5,False,0,0,6,0,0.0,1.0,0.0
Bertil1,boxmot_oc_sort,0.582662300002994,1812,1805,1706,99,646270,0,68393,1.0,0.9043003485558928,0.9497455054730836,14,113,0,0,5,4,108,False,7,7,99,0,0.0660377358490566,1.0,0.1238938053097345
Bertil1,boxmot_bot_sort_gmc_no_reid,34.07349460001569,1812,1805,1791,14,661173,0,53490,1.0,0.9251535339033923,0.9611218197517728,12,26,0,0,5,4,21,False,7,6,14,1,0.3,0.8571428571428571,0.4444444444444444
Bertil1,production_preprocessor_ilp,19.704769900010433,1812,1805,1802,3,701219,567,13444,0.9991920613976341,0.9811883363207554,0.9901083625319372,5,8,1,48,5,2,4,False,7,0,3,7,0.0,0.0,0.0
Bertil2,boxmot_oc_sort,0.2662247000262141,868,868,829,39,205976,0,35591,1.0,0.8526661340332081,0.9204746806452117,7,46,0,0,3,3,43,False,0,0,39,0,0.0,1.0,0.0
Bertil2,boxmot_bot_sort_gmc_no_reid,18.36708599998383,868,868,858,10,207404,0,34163,1.0,0.8585775374947737,0.9239082256983191,5,15,0,0,3,3,12,False,0,0,10,0,0.0,1.0,0.0
Bertil2,production_preprocessor_ilp,11.896713699999964,868,868,866,2,240212,0,1355,1.0,0.9943907901327582,0.9971875071350143,3,5,0,0,3,1,2,False,0,0,2,0,0.0,1.0,0.0
input3,boxmot_oc_sort,0.2626254000060726,899,899,877,22,142699,0,50484,1.0,0.7386726575319774,0.8496972150933958,4,26,0,0,3,3,23,False,0,0,22,0,0.0,1.0,0.0
input3,boxmot_bot_sort_gmc_no_reid,18.054319200018654,899,899,889,10,117978,29160,75205,0.8018187008114831,0.6107059109756034,0.6933336467629091,8,18,1,477,3,3,16,False,0,0,10,0,0.0,1.0,0.0
input3,production_preprocessor_ilp,9.469019900017884,899,899,899,0,148633,0,44550,1.0,0.769389646086871,0.8696667212769443,4,4,0,0,3,1,1,False,0,0,0,0,1.0,1.0,1.0
input6,boxmot_oc_sort,0.9045225000008941,3069,3069,3040,29,680910,155574,909232,0.8140143744530678,0.4282070406290759,0.5611989651474929,8,37,3,1639,3,3,37,False,0,0,29,0,0.0,1.0,0.0
input6,boxmot_bot_sort_gmc_no_reid,63.03779649999342,3069,3069,3066,3,1053540,522692,536602,0.6683914550649904,0.6625446029348322,0.6654551862793213,4,7,2,2143,3,3,6,False,0,0,3,0,0.0,1.0,0.0
input6,production_preprocessor_ilp,35.77381330000935,3069,3069,3069,0,1589183,1192,959,0.9992504912363436,0.9993969092068508,0.9993236948584145,3,3,1,1193,3,1,1,False,0,0,0,0,1.0,1.0,1.0
input7,boxmot_oc_sort,1.048827299993718,5602,5602,5542,60,3629967,0,881228,1.0,0.8046575242258426,0.8917564839024209,14,74,0,0,6,6,68,False,0,0,60,0,0.0,1.0,0.0
input7,boxmot_bot_sort_gmc_no_reid,53.72927890002029,5602,5602,5584,18,3030712,647015,1480483,0.824072042323968,0.6718202161511528,0.7401980382765888,14,32,3,4561,6,6,29,False,0,0,18,0,0.0,1.0,0.0
input7,production_preprocessor_ilp,53.0808287000109,5602,5602,5594,8,4508253,18109,2942,0.9959992152638255,0.999347844639835,0.997670720085085,4,12,2,2471,6,4,8,False,0,0,8,0,0.0,1.0,0.0
Kai1,boxmot_oc_sort,0.33795420001843013,1293,1273,1245,28,650208,0,3304,1.0,0.9949442397385205,0.9974657134967632,4,32,0,0,3,2,29,False,20,20,28,0,0.4166666666666667,1.0,0.5882352941176471
Kai1,boxmot_bot_sort_gmc_no_reid,25.893748800008325,1293,1273,1259,14,650673,0,2839,1.0,0.9956557798479599,0.9978231615913387,4,18,0,0,3,2,15,False,20,14,14,6,0.5,0.7,0.5833333333333334
