epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
21,1174.62,0.70698,0.07857,0.08415,0.44861,0.91751,1,0.96871,0.99431,0.87599,1,0.96871,0.99431,0.99205,0.57205,0.0796,0.01397,0.36354,0.85531,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
22,1228.31,0.69914,0.07654,0.08487,0.44253,0.92041,0.98381,0.98551,0.9894,0.87571,0.98381,0.98551,0.9894,0.9894,0.55483,0.03876,0.01879,0.39529,0.85883,0.0293763,0.0097921,0.0293763,0.0097921,0.0293763,0.0097921,0.0293763,0.0097921
23,1282.3,0.68971,0.07077,0.07759,0.44183,0.9205,1,0.99895,0.995,0.88144,1,0.99895,0.995,0.99457,0.58539,0.03579,0.00955,0.36314,0.87922,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
24,1336.74,0.6812,0.0701,0.08466,0.4255,0.9091,0.99849,0.98551,0.99472,0.87993,0.99849,0.98551,0.99472,0.99279,0.59633,0.04063,0.01731,0.37013,0.85984,0.0293169,0.0097723,0.0293169,0.0097723,0.0293169,0.0097723,0.0293169,0.0097723
25,1390.04,0.6704,0.06693,0.07912,0.42068,0.90076,0.9855,0.98532,0.99428,0.8987,0.9855,0.98532,0.99428,0.99353,0.53993,0.03913,0.00412,0.34653,0.84582,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
26,1444.16,0.66375,0.06241,0.07871,0.41828,0.90661,0.9976,1,0.995,0.87715,0.9976,1,0.995,0.99424,0.58436,0.04421,0.01105,0.33928,0.85083,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
27,1497.55,0.66986,0.07166,0.08187,0.41784,0.90392,0.98549,0.9842,0.99393,0.88308,0.98549,0.9842,0.99393,0.99393,0.59046,0.04255,0.04624,0.36033,0.86022,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426
28,1551.23,0.67037,0.06573,0.07938,0.42191,0.90403,0.98136,0.98551,0.99317,0.87661,0.98136,0.98551,0.99317,0.98693,0.54762,0.07238,0.005,0.36256,0.85546,0.0291981,0.0097327,0.0291981,0.0097327,0.0291981,0.0097327,0.0291981,0.0097327
29,1604.45,0.65591,0.06556,0.07679,0.41309,0.89747,0.99778,0.98551,0.99396,0.88819,0.99778,0.98551,0.99396,0.9933,0.52982,0.04878,0.01145,0.36397,0.8556,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
30,1658.44,0.65623,0.06148,0.08409,0.40732,0.90486,0.9855,0.98472,0.99226,0.89035,0.9855,0.98472,0.99226,0.98843,0.55373,0.05503,0.01305,0.35959,0.85643,0.0291387,0.0097129,0.0291387,0.0097129,0.0291387,0.0097129,0.0291387,0.0097129
31,1712.11,0.64802,0.06,0.07203,0.40868,0.89858,0.99815,1,0.995,0.89327,0.99815,1,0.995,0.99419,0.53222,0.04119,0.00758,0.32054,0.84958,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
32,1766.47,0.6376,0.06116,0.07423,0.39619,0.89561,0.99806,0.98551,0.99486,0.88785,0.99806,0.98551,0.99486,0.99415,0.53723,0.03669,0.01174,0.32387,0.85563,0.0290793,0.0096931,0.0290793,0.0096931,0.0290793,0.0096931,0.0290793,0.0096931
33,1820.26,0.64011,0.06176,0.07615,0.40374,0.90063,1,0.98411,0.99472,0.88638,1,0.98411,0.99472,0.99472,0.52725,0.03421,0.01172,0.33552,0.84963,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
34,1873.53,0.63581,0.06121,0.07549,0.39637,0.89306,0.9977,0.98551,0.99472,0.88413,0.9977,0.98551,0.99472,0.99222,0.55421,0.04718,0.00882,0.34687,0.85282,0.0290199,0.0096733,0.0290199,0.0096733,0.0290199,0.0096733,0.0290199,0.0096733
35,1927.5,0.63615,0.05381,0.07774,0.39717,0.89616,0.98243,0.98551,0.99406,0.88511,0.98243,0.98551,0.99406,0.99321,0.53959,0.04608,0.00522,0.34469,0.84465,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634
36,1981.28,0.62963,0.05511,0.07668,0.39213,0.8933,1,0.98502,0.99432,0.89756,1,0.98502,0.99445,0.99445,0.50759,0.03553,0.00652,0.32563,0.84058,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
37,2034.9,0.62668,0.05411,0.0737,0.38717,0.89013,0.98459,0.98551,0.99385,0.90242,0.98459,0.98551,0.99396,0.99156,0.55531,0.04788,0.01796,0.3402,0.85177,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
38,2088.53,0.62891,0.05327,0.06607,0.38932,0.89468,0.9979,0.98551,0.99472,0.88802,0.9979,0.98551,0.99472,0.99408,0.53733,0.0329,0.00404,0.3108,0.84136,0.0289011,0.0096337,0.0289011,0.0096337,0.0289011,0.0096337,0.0289011,0.0096337
39,2142.04,0.61759,0.05882,0.06511,0.38785,0.88777,0.99826,0.98551,0.99472,0.89748,0.99826,0.98551,0.99472,0.99298,0.51722,0.03714,0.01998,0.31955,0.84626,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238
40,2195.72,0.61094,0.05018,0.06529,0.38106,0.88442,0.99818,0.98551,0.99432,0.88953,0.99818,0.98551,0.99432,0.99349,0.56121,0.0446,0.00375,0.33375,0.85759,0.0288417,0.0096139,0.0288417,0.0096139,0.0288417,0.0096139,0.0288417,0.0096139
41,2250.05,0.62468,0.05299,0.06134,0.3828,0.88651,1,0.99926,0.995,0.89203,1,0.99926,0.995,0.99433,0.53689,0.03719,0.00745,0.32017,0.8534,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
42,2304.33,0.60371,0.05854,0.06367,0.37442,0.88353,0.99479,0.98551,0.99432,0.90063,0.99479,0.98551,0.99432,0.99368,0.53924,0.0357,0.02257,0.3447,0.84967,0.0287823,0.0095941,0.0287823,0.0095941,0.0287823,0.0095941,0.0287823,0.0095941
43,2358.39,0.6199,0.05198,0.07329,0.38085,0.88747,1,0.99906,0.995,0.88861,1,0.99906,0.995,0.99426,0.54322,0.04109,0.01562,0.3139,0.85492,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842
44,2412.36,0.61679,0.05121,0.06853,0.38553,0.8896,0.99806,1,0.995,0.89955,0.99806,1,0.995,0.99083,0.51002,0.03886,0.04343,0.30431,0.83987,0.0287229,0.0095743,0.0287229,0.0095743,0.0287229,0.0095743,0.0287229,0.0095743
45,2465.89,0.61773,0.04931,0.06597,0.3859,0.88962,1,0.99868,0.995,0.9045,1,0.99868,0.995,0.99422,0.53497,0.03416,0.0305,0.3207,0.85188,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644
