epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.9335,1.1131,6.31912,1.07866,0.82591,0.86263,0.86728,0.6577,0.79969,2.61378,0.92984,0.00026,0.00026,0.00026
2,24.6596,0.83886,1.67836,0.96325,0.2884,0.81818,0.27979,0.19392,1.02503,4.60931,0.95539,0.000534654,0.000534654,0.000534654
3,29.4862,0.81597,0.81388,0.97265,0.73159,0.72727,0.70886,0.50803,1.15394,2.59873,1.17688,0.000803764,0.000803764,0.000803764
4,34.2989,0.86478,0.69087,0.98084,0.60772,0.68182,0.67309,0.40154,1.39501,3.81679,1.06597,0.00106733,0.00106733,0.00106733
5,39.1032,0.87698,0.71561,0.98134,0.17227,0.31818,0.18498,0.14866,1.62561,3.01316,1.66298,0.00132535,0.00132535,0.00132535
6,43.7939,0.83703,0.67865,0.97979,1,0.13509,0.14225,0.12044,nan,nan,nan,0.00157783,0.00157783,0.00157783
7,48.4978,0.84356,0.65639,0.95364,0.9568,0.72727,0.81252,0.63914,0.9265,1.0093,1.04318,0.00182476,0.00182476,0.00182476
8,53.1865,0.8371,0.60691,0.9702,0.7914,0.36364,0.42936,0.33284,1.16104,2.08807,1.27677,0.0018614,0.0018614,0.0018614
9,57.88,0.81509,0.58055,0.96703,1,0.62375,0.79503,0.62942,0.84929,1.36647,0.93532,0.0018416,0.0018416,0.0018416
10,62.568,0.82831,0.5725,0.96518,0.65974,0.77273,0.78756,0.46263,1.0645,1.65264,1.14249,0.0018218,0.0018218,0.0018218
11,67.2572,0.80151,0.56362,0.94983,0.85217,0.78655,0.86505,0.63857,0.8795,1.08176,1.03361,0.001802,0.001802,0.001802
12,71.9543,0.79741,0.54845,0.94359,0.96943,0.86364,0.90422,0.69201,0.85184,0.7326,1.10615,0.0017822,0.0017822,0.0017822
13,76.7619,0.75966,0.53193,0.95173,0.95074,0.81818,0.93357,0.72284,0.86889,0.69126,1.06041,0.0017624,0.0017624,0.0017624
14,81.5709,0.76953,0.52584,0.95031,0.9491,0.90909,0.92079,0.73114,0.77945,0.6457,0.94109,0.0017426,0.0017426,0.0017426
15,86.3757,0.76511,0.51996,0.95518,0.98957,0.72727,0.81156,0.69019,0.70545,0.83134,0.93036,0.0017228,0.0017228,0.0017228
16,91.0652,0.74223,0.51247,0.93848,0.89461,0.38703,0.63236,0.45814,0.86513,1.37082,1.08652,0.001703,0.001703,0.001703
17,95.7344,0.72758,0.49304,0.93009,0.90384,0.85479,0.87967,0.73119,0.84465,0.5395,1.00374,0.0016832,0.0016832,0.0016832
18,100.415,0.71905,0.49011,0.92045,1,0.99772,0.995,0.77073,0.72336,0.46444,0.95836,0.0016634,0.0016634,0.0016634
19,105.234,0.72579,0.49658,0.92651,1,0.94268,0.98088,0.80997,0.64333,0.51408,0.88525,0.0016436,0.0016436,0.0016436
20,110.052,0.72009,0.48548,0.92172,0.95433,0.94998,0.98111,0.77528,0.66458,0.55152,0.89837,0.0016238,0.0016238,0.0016238
21,114.744,0.70715,0.48758,0.90588,0.98934,0.95455,0.98885,0.75956,0.75793,0.52521,0.97957,0.001604,0.001604,0.001604
22,119.434,0.69814,0.46842,0.9153,0.97591,0.95455,0.95849,0.78637,0.65525,0.82503,0.97834,0.0015842,0.0015842,0.0015842
23,124.119,0.68774,0.46106,0.90806,0.99353,0.95455,0.98339,0.78675,0.76205,0.47215,0.98275,0.0015644,0.0015644,0.0015644
24,128.807,0.68697,0.46116,0.91008,0.99818,0.95455,0.975,0.77617,0.83223,0.46984,1.0456,0.0015446,0.0015446,0.0015446
25,133.481,0.68172,0.44722,0.90749,0.99577,0.95455,0.97413,0.7991,0.75357,0.44725,1.03385,0.0015248,0.0015248,0.0015248
26,138.172,0.68562,0.45287,0.90487,0.99016,0.95455,0.99167,0.81068,0.64531,0.48682,0.88792,0.001505,0.001505,0.001505
27,142.976,0.69725,0.44568,0.90081,0.99771,0.95455,0.96443,0.80716,0.74051,0.49386,1.0217,0.0014852,0.0014852,0.0014852
28,147.668,0.6646,0.44466,0.90733,0.99754,0.95455,0.98014,0.81162,0.64719,0.46285,0.94904,0.0014654,0.0014654,0.0014654
29,152.359,0.67065,0.43246,0.91091,0.99539,0.95455,0.96257,0.80501,0.62838,0.45505,0.93747,0.0014456,0.0014456,0.0014456
30,157.037,0.6371,0.42238,0.88925,1,0.95365,0.96025,0.78235,0.68394,0.44507,0.95998,0.0014258,0.0014258,0.0014258
31,161.72,0.65535,0.43223,0.89688,1,0.95207,0.96685,0.7956,0.75264,0.44967,0.99575,0.001406,0.001406,0.001406
32,166.407,0.6391,0.42525,0.89645,0.99627,0.95455,0.98759,0.83908,0.6708,0.41952,0.89703,0.0013862,0.0013862,0.0013862
33,171.206,0.63019,0.41372,0.88758,0.95423,0.95455,0.95889,0.82735,0.62602,0.48159,0.93154,0.0013664,0.0013664,0.0013664
34,175.905,0.64685,0.41989,0.89925,0.94878,0.90909,0.95501,0.81972,0.64004,0.44815,0.94739,0.0013466,0.0013466,0.0013466
35,180.598,0.6264,0.41617,0.89403,0.95047,0.95455,0.95843,0.85578,0.56011,0.46021,0.87491,0.0013268,0.0013268,0.0013268
36,185.406,0.6415,0.42023,0.88573,0.95202,0.95455,0.94335,0.81067,0.60488,0.39218,0.87371,0.001307,0.001307,0.001307
37,190.094,0.63039,0.41371,0.89807,0.91652,0.99822,0.97702,0.84436,0.52408,0.39135,0.85463,0.0012872,0.0012872,0.0012872
38,194.785,0.61619,0.40447,0.89073,0.999,0.95455,0.9627,0.81959,0.5882,0.45232,0.9337,0.0012674,0.0012674,0.0012674
39,199.482,0.60475,0.39783,0.88293,0.99445,0.90909,0.9588,0.77889,0.61331,0.43584,0.92858,0.0012476,0.0012476,0.0012476
40,204.178,0.61642,0.40568,0.89015,0.99646,0.95455,0.9713,0.81047,0.59846,0.44313,0.87553,0.0012278,0.0012278,0.0012278
41,208.873,0.60589,0.39269,0.88702,0.99682,0.95455,0.96783,0.80652,0.65134,0.42595,0.93414,0.001208,0.001208,0.001208
42,213.559,0.62153,0.40094,0.89864,0.99704,0.95455,0.98339,0.81234,0.5885,0.3772,0.92615,0.0011882,0.0011882,0.0011882
43,218.241,0.59347,0.38521,0.88183,0.99642,0.95455,0.98534,0.79969,0.63241,0.3993,0.90719,0.0011684,0.0011684,0.0011684
44,222.938,0.6044,0.3907,0.88668,0.95057,0.95455,0.9593,0.83457,0.62273,0.42489,0.90455,0.0011486,0.0011486,0.0011486
45,227.636,0.58935,0.38288,0.88469,0.95229,0.95455,0.96141,0.83029,0.62208,0.41091,0.89525,0.0011288,0.0011288,0.0011288
46,232.33,0.59652,0.38222,0.88399,0.9519,0.95455,0.92904,0.79376,0.60895,0.44892,0.87498,0.001109,0.001109,0.001109
47,237.02,0.60456,0.381,0.87749,0.9976,0.95455,0.96749,0.81052,0.65199,0.36396,0.9502,0.0010892,0.0010892,0.0010892
48,241.711,0.59539,0.37893,0.88026,0.95211,0.95455,0.96716,0.82231,0.65866,0.35419,0.92757,0.0010694,0.0010694,0.0010694
