epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,18.979,1.37914,0.42308,1,1.33838,7.5e-05,7.5e-05,7.5e-05
2,38.0071,1.1824,0.86538,1,0.98532,0.000157137,0.000157137,0.000157137
3,52.4938,0.85722,0.94231,1,0.55275,0.0002335,0.0002335,0.0002335
4,66.8598,0.47625,1,1,0.22529,0.000304088,0.000304088,0.000304088
5,82.9669,0.22494,1,1,0.06017,0.0003689,0.0003689,0.0003689
6,97.6668,0.08877,1,1,0.01582,0.000427938,0.000427938,0.000427938
7,112.335,0.0432,1,1,0.00986,0.0004812,0.0004812,0.0004812
8,126.947,0.01776,1,1,0.00501,0.000528687,0.000528687,0.000528687
9,142.768,0.01898,1,1,0.00436,0.0005704,0.0005704,0.0005704
10,157.422,0.007,1,1,0.0035,0.000606338,0.000606338,0.000606338
11,172.198,0.00431,1,1,0.00311,0.0006365,0.0006365,0.0006365
12,186.805,0.01164,1,1,0.00288,0.000660888,0.000660888,0.000660888
13,202.774,0.0026,1,1,0.00274,0.0006795,0.0006795,0.0006795
14,217.821,0.00657,1,1,0.0026,0.000692337,0.000692337,0.000692337
15,233.263,0.01528,1,1,0.00299,0.0006725,0.0006725,0.0006725
16,248.24,0.00557,1,1,0.01161,0.00063125,0.00063125,0.00063125
17,264.884,0.00542,1,1,0.00356,0.00059,0.00059,0.00059
18,280.141,0.00241,1,1,0.00204,0.00054875,0.00054875,0.00054875
19,295.175,0.00144,1,1,0.00096,0.0005075,0.0005075,0.0005075
20,310.549,0.00141,1,1,0.00082,0.00046625,0.00046625,0.00046625
21,327.977,0.00202,1,1,0.00094,0.000425,0.000425,0.000425
22,343.297,0.00128,1,1,0.00132,0.00038375,0.00038375,0.00038375
23,358.367,0.00161,1,1,0.00138,0.0003425,0.0003425,0.0003425
24,373.891,0.001,1,1,0.00158,0.00030125,0.00030125,0.00030125
25,391.889,0.00076,1,1,0.00149,0.00026,0.00026,0.00026
26,407.304,0.00118,1,1,0.00166,0.00021875,0.00021875,0.00021875
27,422.433,0.00087,1,1,0.00171,0.0001775,0.0001775,0.0001775
28,437.769,0.00151,1,1,0.00164,0.00013625,0.00013625,0.00013625
29,457.629,0.00206,1,1,0.00207,9.5e-05,9.5e-05,9.5e-05
30,475.477,0.00084,1,1,0.00218,5.375e-05,5.375e-05,5.375e-05
