epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,395.296,0.64301,0.41746,0.91166,0.92972,1,0.99041,0.84827,0.64998,0.43373,0.82184,0.0011684,0.0011684,0.0011684
44,403.833,0.62717,0.40014,0.89934,0.94363,1,0.99318,0.85907,0.61793,0.38716,0.81825,0.0011486,0.0011486,0.0011486
45,412.487,0.59591,0.39102,0.89314,0.97612,0.97344,0.99167,0.87637,0.57824,0.38788,0.80116,0.0011288,0.0011288,0.0011288
46,421.095,0.60563,0.3884,0.89564,0.9804,0.95238,0.99319,0.8546,0.64315,0.3901,0.84361,0.001109,0.001109,0.001109
47,429.494,0.62142,0.40355,0.89623,0.97614,1,0.99244,0.86784,0.5788,0.39801,0.79977,0.0010892,0.0010892,0.0010892
48,438.152,0.62717,0.40244,0.8964,1,0.9736,0.9925,0.8508,0.61646,0.43874,0.81274,0.0010694,0.0010694,0.0010694
49,446.629,0.61006,0.39404,0.89087,1,0.96825,0.99287,0.84827,0.56813,0.38667,0.80232,0.0010496,0.0010496,0.0010496
50,455.063,0.60566,0.38754,0.89395,1,0.96946,0.99409,0.87394,0.5716,0.34612,0.7926,0.0010298,0.0010298,0.0010298
51,463.676,0.5988,0.38967,0.89435,1,0.96725,0.99409,0.87046,0.55892,0.39611,0.79276,0.00101,0.00101,0.00101
52,472.809,0.62213,0.40898,0.91367,0.96706,0.95238,0.9916,0.86283,0.55977,0.38004,0.80022,0.0009902,0.0009902,0.0009902
53,481.216,0.61345,0.39921,0.90983,0.97411,1,0.99453,0.88308,0.53462,0.33343,0.79421,0.0009704,0.0009704,0.0009704
54,489.855,0.58102,0.37348,0.88787,0.97102,1,0.99407,0.87998,0.54411,0.38538,0.79446,0.0009506,0.0009506,0.0009506
55,498.229,0.59127,0.38148,0.8877,0.97231,1,0.99407,0.89253,0.53938,0.38386,0.79612,0.0009308,0.0009308,0.0009308
56,507.019,0.58651,0.38073,0.89105,0.97612,0.97316,0.9929,0.8685,0.59119,0.39245,0.80086,0.000911,0.000911,0.000911
57,515.402,0.56122,0.37823,0.87689,0.9726,0.97619,0.99248,0.87395,0.55136,0.37299,0.79419,0.0008912,0.0008912,0.0008912
58,523.804,0.59131,0.38647,0.89584,0.98984,0.95238,0.99319,0.86651,0.54876,0.43681,0.80328,0.0008714,0.0008714,0.0008714
59,532.202,0.56899,0.36429,0.88957,0.95078,1,0.99361,0.8947,0.54353,0.33798,0.79274,0.0008516,0.0008516,0.0008516
60,541.353,0.57661,0.36732,0.88574,0.95427,1,0.99361,0.88588,0.525,0.3887,0.78333,0.0008318,0.0008318,0.0008318
